% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.497690150e+002 +3.497690150e+002 +3.405590150e+002 +3.405590150e+002 +4.6631e+000 +2.2021e-001 -1.1500e+001 +4.8909e+000 -3.7095e+000 -1.5597e+000 +1.3127e+000 -8.4087e-001 +1.4773e+000 +2.5900e+000 +4.0029e+000 -1.4907e+000 +7.6902e+000 +1.5728e+000 -7.6781e-001 +5.6938e+000 -1.5141e+000 +2.2435e+000 -4.0324e+000 +1.8973e+000
17 +3.345597384e+002 +3.345597384e+002 +3.253497384e+002 +3.253497384e+002 +2.5729e+000 +1.6478e+000 -3.6328e+000 +5.0527e+000 -4.7262e-001 -6.0165e+000 -8.1780e-001 -1.9051e-001 -1.7658e+000 -8.7569e+000 +1.7598e+000 -1.6407e+000 +3.9537e-001 +5.0083e+000 -5.5757e-001 +4.9790e+000 +9.8571e-001 +8.7996e+000 -7.7007e+000 -2.9038e+000
52 +2.890718972e+002 +2.890718972e+002 +2.798618972e+002 +2.798618972e+002 +1.0986e+000 -2.2199e+000 -4.1662e+000 +4.8987e+000 -3.4807e+000 +3.1967e-002 +3.0562e+000 +1.4983e+000 +4.7115e+000 -2.0423e+000 +5.6666e-001 -3.7719e+000 +4.2811e+000 +2.7592e+000 -8.3717e-001 +2.5649e+000 -3.4999e+000 +6.2527e+000 -8.3663e+000 -1.6199e+000
112 +2.861929289e+002 +2.861929289e+002 +2.769829289e+002 +2.769829289e+002 +1.1443e+000 -5.3468e-001 -6.9837e+000 +7.2114e+000 -1.8284e+000 -9.6689e+000 -3.0954e+000 +3.2498e+000 +6.4985e+000 -3.9392e+000 -1.8758e+000 +1.8390e+000 +4.3854e+000 +2.0459e+000 -8.3469e-001 +2.9129e+000 -3.5432e+000 +2.9725e+000 -8.2968e+000 +4.5317e+000
176 +2.605491090e+002 +2.605491090e+002 +2.513391090e+002 +2.513391090e+002 +3.2950e+000 +1.8120e+000 -7.9004e+000 +1.9505e+000 +2.1613e+000 -4.0216e+000 +2.1302e-002 -2.8739e+000 -1.9237e-001 -6.6122e+000 -1.3635e+000 -2.1254e+000 +6.6791e+000 +2.0826e+000 +6.7689e-001 +6.3705e+000 +4.2048e+000 +4.8238e+000 -4.2606e+000 +3.7805e+000
202 +1.721827682e+002 +1.721827682e+002 +1.629727682e+002 +1.629727682e+002 +3.7121e+000 +4.3970e+000 -3.8113e+000 +4.2365e+000 +1.7566e-002 +1.7110e+000 +1.7629e+000 +9.8592e-001 -9.5172e-001 -1.4831e+000 -1.0213e+000 -3.9768e+000 +1.2628e+001 +6.2511e+000 -5.0339e+000 -9.6381e-001 +2.1895e-001 +4.8207e+000 -3.0130e+000 +4.2874e+000
214 +1.461576332e+002 +1.461576332e+002 +1.369476332e+002 +1.369476332e+002 +8.0871e+000 -7.4840e+000 -4.8232e+000 +7.6962e+000 -1.0292e+001 -5.1595e+000 +2.3906e+000 -4.1127e+000 +3.3544e+000 -7.0771e-001 -6.2988e-002 -5.1950e+000 +3.9618e+000 +5.1227e+000 -5.1542e+000 -1.1864e+000 +3.1862e+000 +1.0961e+001 -6.5664e+000 +9.9727e+000
300 +1.391758681e+002 +1.391758681e+002 +1.299658681e+002 +1.299658681e+002 +1.3877e-001 +1.8789e-001 -2.6509e+000 +2.2603e+000 -1.1119e+000 -3.6231e+000 +8.7961e-001 +1.3588e+000 -6.4396e+000 -3.1608e+000 -2.6091e+000 -3.0051e+000 +4.1442e+000 +4.9599e+000 -4.1334e+000 -7.7281e+000 +3.5153e+000 +4.2481e+000 -7.9076e+000 +6.1253e+000
316 +1.371534262e+002 +1.371534262e+002 +1.279434262e+002 +1.279434262e+002 +7.1648e+000 -1.6472e+000 -1.0692e+001 +4.6925e+000 -3.1790e+000 -2.5528e+000 -4.7748e-001 -6.4293e+000 -4.9585e+000 -5.8532e+000 -5.1755e+000 -7.0075e+000 +7.8596e+000 +1.5491e+000 -5.2078e+000 -3.1415e+000 +6.0278e+000 +9.9448e+000 -1.1408e+001 +5.8658e+000
360 +1.122046646e+002 +1.122046646e+002 +1.029946646e+002 +1.029946646e+002 +7.7379e+000 +1.9128e+000 -2.1957e+000 +2.0201e+000 +1.3929e+000 +4.8369e+000 +3.1087e+000 +5.5281e-001 -2.1392e+000 -2.7645e+000 -9.3379e+000 -4.1509e+000 +4.5090e+000 -2.7524e+000 -6.0770e+000 -4.9397e+000 +7.3328e+000 +4.7903e+000 -8.2782e+000 +1.0170e+001
404 +9.057195199e+001 +9.057195199e+001 +8.136195199e+001 +8.136195199e+001 +2.4931e+000 +8.1177e+000 -7.3908e+000 +1.6314e-001 -1.3706e-001 +1.5053e+000 +1.1575e+000 +2.7383e+000 -4.4023e+000 -1.0095e+000 -7.0739e+000 -5.0551e+000 +6.2151e+000 +8.5394e+000 -1.3907e+001 -6.0721e+000 +4.8396e+000 +6.4125e+000 -7.4791e+000 +1.2297e+001
425 +8.021882615e+001 +8.021882615e+001 +7.100882615e+001 +7.100882615e+001 +4.4779e+000 +1.1375e+000 -8.7638e+000 +6.7207e+000 -8.6573e+000 +4.1322e-002 -1.9856e-001 +5.2842e-003 +5.2693e+000 -4.5332e+000 -3.3801e+000 -4.7586e+000 +8.4737e+000 +5.2279e+000 -4.6014e+000 -2.3797e+000 +4.9674e+000 +5.4455e+000 -6.4416e+000 +7.9805e+000
426 +7.734600045e+001 +7.734600045e+001 +6.813600045e+001 +6.813600045e+001 +7.9272e+000 +2.6808e-003 -8.2043e-001 +3.0375e+000 -5.5366e-001 -9.2112e-001 +5.0106e+000 +4.7763e+000 +1.0800e+001 -1.1226e+001 -3.5250e+000 -4.3471e+000 +3.7491e+000 +3.2240e+000 -4.4622e+000 -2.0386e+000 +1.0556e+001 +8.3386e+000 -4.9631e+000 +6.2528e+000
540 +6.543584353e+001 +6.543584353e+001 +5.622584353e+001 +5.622584353e+001 +4.5036e+000 +3.5773e+000 -2.3266e+000 +6.4617e+000 -4.3918e+000 +1.1960e+000 -1.0813e-001 +1.3150e+000 +1.4589e+000 -5.9558e-001 -5.0552e+000 -1.4023e+001 +1.3075e+001 +5.7370e+000 -7.2060e+000 -4.2831e+000 +7.1659e+000 +7.6133e+000 -6.4145e+000 +9.5574e+000
552 +6.057005991e+001 +6.057005991e+001 +5.136005991e+001 +5.136005991e+001 +3.2098e+000 +3.5963e-001 +6.5631e+000 +4.9709e+000 -1.4787e+000 +6.0164e+000 +9.6895e-003 +1.9029e+001 +2.9494e+000 +1.6517e+000 -2.0039e+000 -9.9525e+000 +6.8624e+000 +1.1599e+001 -7.0993e+000 -1.0472e+001 +4.6856e+000 +7.0903e+000 -1.1142e+001 +7.2050e+000
555 +6.006195837e+001 +6.006195837e+001 +5.085195837e+001 +5.085195837e+001 +2.1996e+000 +8.0915e+000 -4.7740e+000 +5.7971e+000 -1.6884e+000 -3.3950e+000 +3.5799e+000 +8.0330e+000 +2.7327e+000 -3.8533e+000 -6.5460e+000 -1.1284e+001 +3.4775e+000 +5.7922e+000 -7.7792e+000 -4.1567e+000 +1.0475e+001 +7.9310e+000 -9.9160e+000 +5.5086e+000
592 +5.610840069e+001 +5.610840069e+001 +4.689840069e+001 +4.689840069e+001 +2.8190e+000 +8.8458e+000 -2.5109e+000 +4.7000e+000 -6.1978e+000 +5.3439e+000 +6.1627e+000 +6.3313e+000 -2.2187e+000 -6.0338e+000 -5.2398e+000 -3.7849e+000 +6.1070e+000 +3.4855e+000 -2.6238e+000 -1.3491e+001 +6.5624e+000 +6.9211e+000 -1.0479e+001 +1.2949e+001
615 +5.099380609e+001 +5.099380609e+001 +4.178380609e+001 +4.178380609e+001 -3.5171e-002 +7.0269e+000 -2.3001e+000 +4.4138e+000 -4.6559e+000 +3.0907e+000 +7.3811e+000 +5.8354e+000 +8.3958e+000 -2.5540e+000 -3.5320e-001 -3.2188e+000 +5.7708e+000 +6.0981e+000 -7.9589e+000 -8.2645e+000 +4.6970e+000 +6.0473e+000 -7.7587e+000 +1.2537e+001
621 +3.541581810e+001 +3.541581810e+001 +2.620581810e+001 +2.620581810e+001 +2.7365e+000 +2.4883e+000 -4.6601e+000 +6.7681e+000 +1.2220e+000 +9.4072e+000 +5.5681e+000 +7.3136e+000 +3.1414e+000 -5.1785e+000 -2.1778e+001 -4.2080e+000 +9.6390e+000 +6.1675e+000 -1.6181e+001 -5.9481e+000 +8.6831e+000 +6.0792e+000 -7.6223e+000 +1.0931e+001
694 +3.186053440e+001 +3.186053440e+001 +2.265053440e+001 +2.265053440e+001 -4.6213e-001 +1.0753e+001 +9.9808e-001 +4.0947e+000 -9.0529e-001 +3.2259e+000 +6.2978e+000 +7.9717e+000 +5.0444e+000 -3.5341e+000 -6.6636e+000 -5.8918e+000 +5.5565e+000 +4.6170e+000 -1.5601e+001 -1.1780e+001 +9.9619e+000 +8.9644e+000 -6.3545e+000 +4.6119e+000
709 +2.551231066e+001 +2.551231066e+001 +1.630231066e+001 +1.630231066e+001 +5.6393e+000 +1.2173e+001 -7.1908e-001 +2.8584e+000 -2.0194e+000 +4.0738e+000 +1.4242e+001 +1.3152e+000 +6.3190e+000 -7.7048e+000 -6.8738e+000 -7.1519e+000 +7.9155e+000 +1.0094e+001 -1.5711e+001 -9.1871e+000 +1.9530e+001 +6.5430e+000 -8.0757e+000 +8.4572e+000
720 +1.993215803e+001 +1.993215803e+001 +1.072215803e+001 +1.072215803e+001 -1.9074e+000 +6.7717e+000 -1.3181e+000 +7.6628e+000 -1.9369e+000 +1.0605e+001 +5.0312e+000 +5.9225e+000 +6.4839e+000 -5.3889e+000 -1.4989e+001 -8.0552e+000 +9.7802e+000 +5.5667e+000 -1.2596e+001 -1.1671e+001 +1.5926e+001 +8.8248e+000 -7.2201e+000 +1.1072e+001
890 +1.858332653e+001 +1.858332653e+001 +9.373326529e+000 +9.373326529e+000 +3.0183e+000 +6.7874e+000 -1.0543e+000 +6.7975e+000 -8.7536e-001 +8.1222e+000 +6.7396e+000 +4.0627e+000 +7.9409e+000 -5.7481e+000 -7.1231e+000 -6.1111e+000 +9.7749e+000 +5.9232e+000 -1.1511e+001 -1.4791e+001 +9.6951e+000 +7.8666e+000 -9.3403e+000 +6.4416e+000
