% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.375528382e+001 +3.375528382e+001 +2.454528382e+001 +2.454528382e+001 +3.7804e-002 +4.1404e-001 +3.5709e+000
4 +2.981951967e+001 +2.981951967e+001 +2.060951967e+001 +2.060951967e+001 +2.5264e+000 +1.9300e-001 +3.7855e+000
9 +2.166505087e+001 +2.166505087e+001 +1.245505087e+001 +1.245505087e+001 +7.9184e-001 -5.2035e-001 +8.9589e+000
10 +1.798355177e+001 +1.798355177e+001 +8.773551771e+000 +8.773551771e+000 +2.3112e+000 +1.6338e-001 +7.9731e+000
14 +8.503939137e+000 +8.503939137e+000 -7.060608630e-001 -7.060608630e-001 +3.4820e+000 +2.7909e+000 +8.1935e+000
17 +5.389538900e+000 +5.389538900e+000 -3.820461100e+000 -3.820461100e+000 -3.8954e-001 +6.5344e+000 +1.9634e+001
30 +3.325115077e+000 +3.325115077e+000 -5.884884923e+000 -5.884884923e+000 +1.6749e+000 +6.8430e+000 +1.8086e+001
49 +2.535069735e+000 +2.535069735e+000 -6.674930265e+000 -6.674930265e+000 +2.4649e+000 +7.0301e+000 +2.7247e+001
58 +6.017429137e-001 +6.017429137e-001 -8.608257086e+000 -8.608257086e+000 +4.3983e+000 +8.7605e+000 +2.5180e+001
61 +5.401666179e-001 +5.401666179e-001 -8.669833382e+000 -8.669833382e+000 +4.4598e+000 +9.2085e+000 +1.3368e+001
67 +0.000000000e+000 +0.000000000e+000 -9.210000000e+000 -9.210000000e+000 +5.4711e+000 +2.7776e+001 +5.9030e+001
89273 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 -9.210000000e+000 +1.5525e+308 -6.4492e+307 +1.4091e+281
% function evaluation | noise-free fitness - Fopt (6.559900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.218194258e+001 +1.218194258e+001 +6.681719426e+002 +6.681719426e+002 +1.8464e+000 -2.1450e+000 -5.9147e+000
16 +4.965029352e+000 +4.965029352e+000 +6.609550294e+002 +6.609550294e+002 +3.4971e-002 -2.1555e+001 -6.8153e+000
35 +3.312584575e+000 +3.312584575e+000 +6.593025846e+002 +6.593025846e+002 +1.6874e+000 -1.7079e+001 -8.1868e+000
43 +0.000000000e+000 +0.000000000e+000 +6.559900000e+002 +6.559900000e+002 +5.8435e+000 -1.3324e+001 -9.4933e+000
100608 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +6.559900000e+002 +7.4813e+307 -1.4139e+306 +3.1623e+307
% function evaluation | noise-free fitness - Fopt (6.671000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.869248942e+001 +3.869248942e+001 +1.054024894e+002 +1.054024894e+002 +3.7503e+000 -5.1707e+000 -2.0058e+000
16 +7.886306545e+000 +7.886306545e+000 +7.459630655e+001 +7.459630655e+001 +1.2598e+000 -4.4857e+000 -5.0384e+001
24 +4.306414253e+000 +4.306414253e+000 +7.101641425e+001 +7.101641425e+001 -6.9359e-001 -1.8782e+001 -1.2526e+001
31 +1.729941184e+000 +1.729941184e+000 +6.843994118e+001 +6.843994118e+001 -3.2701e+000 -1.4878e+001 -9.6854e+000
40 +0.000000000e+000 +0.000000000e+000 +6.671000000e+001 +6.671000000e+001 -1.0728e+001 -1.4304e+001 -7.1391e+001
82727 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +6.671000000e+001 -4.7612e+280 +6.4316e+307 -1.0026e+267
% function evaluation | noise-free fitness - Fopt (9.416700000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.385198625e+001 +6.385198625e+001 +1.005521986e+003 +1.005521986e+003 -9.2693e-001 +1.3095e+001 +4.7443e+000
3 +4.394345578e+001 +4.394345578e+001 +9.856134558e+002 +9.856134558e+002 -2.7858e+000 +8.1960e+000 +7.5228e+000
4 +3.395229001e+001 +3.395229001e+001 +9.756222900e+002 +9.756222900e+002 -1.0100e+000 +2.2662e+000 +4.3015e+000
6 +3.202619014e+001 +3.202619014e+001 +9.736961901e+002 +9.736961901e+002 -1.8351e-001 +3.6045e+000 +7.8805e+000
7 +8.104376548e+000 +8.104376548e+000 +9.497743765e+002 +9.497743765e+002 -3.6705e-002 -4.0403e+000 +4.9894e+000
16 +2.916161376e+000 +2.916161376e+000 +9.445861614e+002 +9.445861614e+002 -2.0838e+000 -1.6673e+001 +1.1363e+001
30 +1.533089231e+000 +1.533089231e+000 +9.432030892e+002 +9.432030892e+002 -3.4669e+000 -3.1607e+001 +5.2682e+000
36 +0.000000000e+000 +0.000000000e+000 +9.416700000e+002 +9.416700000e+002 -5.4276e+000 -2.4428e+001 +8.1825e+000
91203 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +9.416700000e+002 -8.8076e+303 +9.3158e+307 +3.3508e+302
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.174296853e+001 +2.174296853e+001 -1.570703147e+001 -1.570703147e+001 +3.7469e+000 -1.4795e+000 +5.5373e+000
