% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.978922945e+004 +1.978922945e+004 +1.932713945e+004 +1.932713945e+004 -6.4054e+000 -9.8321e+000 -3.2062e+000 -3.5507e-001 +3.0348e+000 -4.8530e+000 -2.5469e+000 +2.8362e+000 -4.4543e+000 -2.8940e+000 -9.5189e-001 +1.3684e+000 +5.3881e+000 -1.0169e+000 -3.5848e+000 +3.9597e+000 +1.8786e+000 +2.0804e+000 -8.6924e+000 +6.5556e-001
5 +1.317276129e+004 +1.317276129e+004 +1.271067129e+004 +1.271067129e+004 -4.9496e+000 -5.2900e+000 +4.0733e+000 +7.5035e+000 -2.9321e+000 -1.2645e+000 -2.5164e+000 +8.6209e-001 +6.4841e+000 -8.1479e+000 +5.9878e-001 +6.9429e-001 -3.1146e+000 -6.9102e+000 +3.5311e-001 +2.7025e+000 +2.5085e+000 +3.6397e+000 -2.1074e-001 +2.5934e+000
6 +4.393189602e+003 +4.393189602e+003 +3.931099602e+003 +3.931099602e+003 -7.6930e+000 -4.9926e+000 -2.0792e+000 -1.9025e+000 +7.3546e-001 -3.1051e+000 -1.7129e+000 -2.4718e+000 +3.8409e+000 -7.6123e+000 +2.6869e-001 +1.2676e+000 -1.6941e-001 +8.1565e-001 -5.0004e-001 +3.1721e+000 +8.1605e-001 +2.2500e+000 -4.6367e+000 +3.0140e+000
11 +4.054120524e+003 +4.054120524e+003 +3.592030524e+003 +3.592030524e+003 -2.8738e+000 -3.1838e+000 -3.7286e+000 +1.4522e+000 +2.5847e+000 -2.3590e+000 +1.6681e+000 +2.5658e+000 +2.9548e+000 -4.1672e+000 +6.9844e-001 +5.0649e-001 -1.2842e+000 +1.7276e+000 +7.9105e-001 +5.1467e+000 +1.3958e+000 +1.3351e+000 -7.4447e+000 +4.2700e+000
14 +2.862115905e+003 +2.862115905e+003 +2.400025905e+003 +2.400025905e+003 -4.4132e+000 -2.1041e+000 -2.6399e+000 -5.6540e-001 +2.5381e-001 -1.4863e+000 +7.0806e-001 -5.5238e+000 +1.9782e+000 -4.0005e+000 +1.6798e+000 -2.7134e+000 -1.4459e+000 -9.9674e-001 +6.2932e-001 -2.1115e-001 +1.7300e+000 +5.1125e+000 -5.8879e+000 +1.7284e+000
18 +1.578493982e+003 +1.578493982e+003 +1.116403982e+003 +1.116403982e+003 -4.6190e+000 -4.5907e+000 -2.6923e+000 +3.3821e+000 +8.8907e-001 -6.4998e-001 -2.4069e+000 +2.0690e+000 +4.8602e-001 -3.1124e+000 +3.3613e+000 +5.3026e+000 -2.3585e+000 +3.7004e+000 -3.3213e+000 +2.7373e+000 +6.9187e-002 +2.1707e+000 -6.5185e-002 +2.1296e+000
61 +1.158116629e+003 +1.158116629e+003 +6.960266290e+002 +6.960266290e+002 -4.1597e+000 -2.5521e+000 -1.1402e+000 +2.3776e+000 -1.1137e+000 -2.8394e+000 +8.5382e-001 +5.9909e-001 +2.3452e-001 -2.0795e+000 -2.1689e-001 -2.1981e+000 -4.0633e+000 +1.4123e+000 -7.7133e-001 +3.7420e+000 -2.7724e-001 +1.6687e+000 -1.0663e+000 +2.7618e+000
332 +1.097990729e+003 +1.097990729e+003 +6.359007294e+002 +6.359007294e+002 +1.0159e+000 -2.8805e+000 -9.7123e-001 -6.4984e-002 -2.2887e-001 -4.2582e-001 -2.9547e+000 +8.2995e-001 -6.2735e-001 -1.0595e+000 -2.0618e-001 -2.8463e+000 -3.8073e+000 +6.0821e-001 +1.2166e+000 +3.1459e+000 -3.1454e+000 +3.7288e+000 +1.2303e+000 -1.8026e+000
337 +1.040218945e+003 +1.040218945e+003 +5.781289452e+002 +5.781289452e+002 -4.8184e+000 -2.3013e+000 -1.8544e+000 +9.2305e-001 +1.4998e+000 -4.1092e-001 -5.9511e+000 +1.2475e+000 +1.0963e+000 +5.2593e+000 +7.1603e-001 -3.1360e+000 -3.1595e+000 +1.3597e+000 +1.8139e+000 -4.1327e-001 -1.0486e+000 +2.3091e+000 -2.4001e-001 +2.8199e+000
429 +9.780248498e+002 +9.780248498e+002 +5.159348498e+002 +5.159348498e+002 -2.1218e+000 -4.8432e+000 -5.5953e-001 +3.3964e+000 +4.2199e-001 +2.1490e-001 -5.2318e+000 +4.2978e-001 -1.2894e-001 +9.0589e-001 -7.1756e-001 -2.0057e+000 -2.6613e+000 +8.7774e-001 -1.7616e+000 +7.7845e-001 -6.8328e-001 +7.8787e-001 -9.2842e-001 +1.7587e+000
