% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.319789794e+007 +3.319789794e+007 +3.319797421e+007 +3.319797421e+007 -4.1414e+000 -1.3096e+000 -4.7898e+000 +2.5277e+000 -6.1317e+000 -3.9079e+000 -3.5904e+000 -5.0404e-002 +4.9031e+000 +1.1387e+000
2 +1.504625353e+007 +1.504625353e+007 +1.504632980e+007 +1.504632980e+007 -6.2799e+000 +3.7214e+000 -3.8204e+000 +1.8929e+000 -4.2606e+000 -4.5216e+000 -9.9067e+000 +5.5601e+000 +2.4009e+000 -1.9372e+000
3 +3.544120823e+006 +3.544120823e+006 +3.544197093e+006 +3.544197093e+006 -9.5762e-001 -3.9683e+000 +5.2646e+000 +4.4558e+000 -2.2391e+000 -3.8612e+000 -1.9850e+000 -9.2937e-001 +4.2738e+000 -9.0836e-001
11 +2.881888761e+006 +2.881888761e+006 +2.881965031e+006 +2.881965031e+006 -1.1072e+000 -3.8005e+000 +3.4065e-001 +2.4792e+000 -6.0038e+000 -4.3705e+000 -4.6043e+000 +6.4006e-001 +1.6099e+000 +3.2279e+000
12 +2.670955190e+006 +2.670955190e+006 +2.671031460e+006 +2.671031460e+006 +8.8470e+000 -5.4885e+000 +8.5558e+000 +7.1706e+000 -7.7545e+000 -4.5354e+000 -1.6844e+000 -4.3171e+000 +7.4887e+000 +4.6404e+000
24 +2.581523761e+006 +2.581523761e+006 +2.581600031e+006 +2.581600031e+006 +3.2963e+000 -2.0267e+000 +2.4270e-001 +2.0338e+000 -4.7990e+000 -8.0006e-001 -6.8667e-001 -1.6064e+000 +1.3214e+001 +4.5134e+000
25 +1.447751458e+005 +1.447751458e+005 +1.448514158e+005 +1.448514158e+005 -1.8048e+000 -1.0193e+001 -1.0388e+000 +1.7776e+000 -3.7050e+000 -1.0761e+000 -3.2434e+000 -1.6751e+000 +2.5614e+000 +5.5283e+000
27 +1.213385478e+003 +1.213385478e+003 +1.289655478e+003 +1.289655478e+003 -1.0067e+000 -8.0482e-001 -8.8825e-001 +8.6729e+000 -2.7009e+000 -3.9102e+000 +8.9985e-001 +3.9585e+000 +3.8295e+000 +2.2730e+000
52 +1.428633636e+002 +1.428633636e+002 +2.191333636e+002 +2.191333636e+002 -1.5873e+000 -4.9062e+000 +1.0244e+000 +5.1982e+000 -3.6328e+000 -2.6286e-001 -4.8551e+000 -6.0436e+000 +4.3279e+000 +4.4887e+000
60400 +1.#INF00000e+000 +1.428633636e+002 +1.#INF00000e+000 +2.191333636e+002 -4.1459e+029 -7.8746e+029 -1.6540e+029 +2.2100e+029 -8.5563e+028 -9.5688e+028 +2.3353e+028 -1.4045e+029 +1.5579e+031 -1.0045e+029
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.083280197e+006 +3.083280197e+006 +3.083257647e+006 +3.083257647e+006 +5.3019e-001 +2.8543e+000 -3.2944e+000 +2.2824e+000 +1.6407e+000 +2.1118e+000 +1.3431e+000 -9.3059e-001 -4.7273e+000 -7.1800e-001
2 +2.063734908e+006 +2.063734908e+006 +2.063712358e+006 +2.063712358e+006 +4.4670e+000 +1.9692e+000 +3.1361e+000 +4.2394e-001 -1.9769e+000 +2.3712e+000 -7.9643e-001 -3.3554e+000 +4.4209e-001 -3.2687e+000
3 +4.522286199e+002 +4.522286199e+002 +4.296786199e+002 +4.296786199e+002 +3.9567e+000 +4.1856e+000 -9.1785e-001 +9.9178e+000 -2.7250e+000 -3.1790e+000 -5.9609e+000 -1.2061e+000 -4.0889e+000 -6.7078e+000
316 +3.273999719e+002 +3.273999719e+002 +3.048499719e+002 +3.048499719e+002 +1.7594e+000 +5.5089e+000 -1.2903e+000 +2.6737e+000 +3.4119e+000 +4.8422e+000 -8.3144e-001 +2.6960e-001 -4.0644e+000 +1.1604e+000
458 +3.002741209e+002 +3.002741209e+002 +2.777241209e+002 +2.777241209e+002 +2.3686e-002 +5.5935e+000 -5.0460e+000 +2.9638e+000 +2.9081e-001 +8.7210e+000 +1.5715e-001 +7.7498e-001 -2.2941e+000 +4.3439e+000
79601 +1.#INF00000e+000 +3.002741209e+002 +1.#INF00000e+000 +2.777241209e+002 -8.3514e+027 +1.9460e+027 -1.4822e+029 +1.4055e+028 +3.5165e+028 -9.1458e+027 -3.3771e+027 -1.5357e+031 -1.7390e+030 +4.7172e+027
% function evaluation | noise-free fitness - Fopt (1.366000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.124487863e+006 +2.124487863e+006 +2.124501523e+006 +2.124501523e+006 +3.9916e+000 +3.9296e-001 +2.5652e+000 +2.8471e+000 +4.4327e+000 +4.8089e+000 +8.3621e+000 +9.1291e+000 -8.5767e-001 +3.9622e+000
2 +4.914607555e+005 +4.914607555e+005 +4.914744155e+005 +4.914744155e+005 +3.9771e+000 +2.4575e-001 +2.9427e+000 +9.2680e+000 +9.9009e-001 +1.3454e+000 +2.7344e+000 +4.2767e+000 -3.7906e+000 -1.0507e+000
3 +3.877820483e+004 +3.877820483e+004 +3.879186483e+004 +3.879186483e+004 -4.7219e+000 -2.2769e-001 +3.0811e+000 +6.5595e+000 -9.5379e-001 +4.1280e+000 +5.5663e+000 +7.6819e+000 -1.2029e+000 +5.5006e+000
7 +2.212893572e+003 +2.212893572e+003 +2.226553572e+003 +2.226553572e+003 +3.6112e+000 +2.8074e-001 +5.5047e+000 +2.8539e+000 +8.3461e+000 +3.5483e+000 +4.1093e+000 +3.5619e+000 -8.1653e-001 +4.0983e+000
102 +4.004765398e+002 +4.004765398e+002 +4.141365398e+002 +4.141365398e+002 +8.0798e+000 +2.2011e+000 +2.8280e+000 +2.9862e+000 +2.0483e+000 +6.5959e+000 +5.4689e+000 +1.7357e+000 +6.1391e-001 +5.3904e+000
60811 +1.#INF00000e+000 +4.004765398e+002 +1.#INF00000e+000 +4.141365398e+002 -1.0633e+031 -1.9958e+029 -3.1383e+029 +6.5388e+029 +4.4968e+029 -2.3082e+028 +2.7164e+028 -4.2127e+029 -4.9713e+028 +9.4047e+028
% function evaluation | noise-free fitness - Fopt (9.378400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.485987129e+007 +4.485987129e+007 +4.486080913e+007 +4.486080913e+007 -1.8426e+000 -6.9871e-001 -1.2362e+000 -1.0584e+000 -5.6664e+000 -2.1972e+000 -1.1651e+000 +5.3301e+000 -5.8266e+000 +4.8335e+000
2 +2.446038000e+007 +2.446038000e+007 +2.446131784e+007 +2.446131784e+007 -1.1002e+000 -7.7339e-001 +1.4697e+000 -4.3794e-001 -3.7997e+000 -4.4517e+000 +1.9432e+000 +3.9385e+000 +1.1740e+000 +2.3936e+000
5 +1.082056679e+007 +1.082056679e+007 +1.082150463e+007 +1.082150463e+007 +2.0112e+000 -3.0812e-001 -1.6631e+000 -3.3252e+000 +1.9212e+000 -5.1770e+000 +6.4466e-001 +9.8578e-001 -5.1889e-001 +7.6421e-001
10 +9.019818173e+006 +9.019818173e+006 +9.020756013e+006 +9.020756013e+006 +2.8360e+000 +2.6617e+000 +2.2167e-001 +1.2205e+000 -5.0445e+000 +6.4998e-001 +4.4336e-001 +4.8266e-001 -2.0003e+000 +4.5786e+000
25 +2.948522043e+006 +2.948522043e+006 +2.949459883e+006 +2.949459883e+006 -2.3504e+001 -1.8281e+000 -2.0550e+000 -1.8237e+000 -3.7178e+000 -6.5919e+000 +1.0279e+001 +9.1182e+000 -7.6561e+000 +3.4767e+000
54 +3.961242476e+005 +3.961242476e+005 +3.970620876e+005 +3.970620876e+005 -3.3635e+000 +3.5596e+000 -1.7756e+000 -1.2318e+000 -2.9351e+000 -2.5931e-001 +4.3103e+000 +1.6826e+000 -8.2243e-001 +2.6993e+000
71 +1.239454091e+004 +1.239454091e+004 +1.333238091e+004 +1.333238091e+004 -1.1519e+000 +1.8164e+001 +5.4908e-001 -5.2332e-001 -5.2879e+000 -6.6889e+000 +2.8153e+000 +3.7713e+000 -2.2350e+000 -1.1058e+000
81 +1.214132754e+004 +1.214132754e+004 +1.307916754e+004 +1.307916754e+004 -8.0435e+000 +2.0833e+000 -2.6188e+000 +2.5576e+000 -4.2146e+000 -6.9343e-001 +1.4971e+000 +1.7209e+000 -3.1255e+000 +6.5896e+000
159 +5.472921263e+003 +5.472921263e+003 +6.410761263e+003 +6.410761263e+003 -1.7898e+000 +4.5917e+000 -8.6204e+000 +3.0172e-001 +4.3448e+000 -2.2959e+000 +4.8755e-001 +2.4807e+000 -9.4247e-001 +3.5164e+000
248 +2.295412680e+003 +2.295412680e+003 +3.233252680e+003 +3.233252680e+003 +1.7134e-001 +1.2467e+001 -1.8940e+001 -6.0140e+000 -8.9054e+000 +1.8017e+000 +2.4924e+000 +4.8847e-001 -5.8892e+000 +4.5684e+000
535 +2.274908369e+003 +2.274908369e+003 +3.212748369e+003 +3.212748369e+003 -3.9868e-001 +1.0968e+000 -4.1379e+000 -3.1103e+000 -4.9172e+000 +1.1019e+000 +3.1317e+001 -6.5672e+000 -2.3795e+000 -6.5646e-001
61506 +1.#INF00000e+000 +2.274908369e+003 +1.#INF00000e+000 +3.212748369e+003 -5.2572e+028 +4.6620e+028 +5.5664e+029 -6.3746e+028 +3.9926e+028 -1.0585e+029 +1.8104e+031 +6.8458e+028 -5.5098e+028 +7.8493e+027
% function evaluation | noise-free fitness - Fopt (-7.872000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.347395590e+004 +8.347395590e+004 +8.339523590e+004 +8.339523590e+004 -4.3704e+000 -9.3972e+000 -8.1920e+000 -1.1755e+000 +7.0837e-002 -1.5316e+000 +1.4749e+000 -9.7254e+000 +5.1531e+000 -2.9210e+000
10 +1.641209246e+004 +1.641209246e+004 +1.633337246e+004 +1.633337246e+004 -2.4388e+000 -5.1803e+000 -2.8310e+000 -1.4931e+000 +2.2722e+000 +7.6544e-001 +3.8631e+000 -2.5390e+000 +5.8733e+000 -3.3873e+000
24 +3.724994067e+003 +3.724994067e+003 +3.646274067e+003 +3.646274067e+003 +9.8707e-001 -3.9062e+000 -5.1526e+000 -1.3264e+000 -1.3050e-001 +1.0963e+000 +3.5656e+000 -4.3534e+000 +6.3083e+000 -3.8215e+000
63 +5.317405364e+002 +5.317405364e+002 +4.530205364e+002 +4.530205364e+002 -5.0204e+000 -6.4835e+000 +3.0010e+000 +1.7997e+000 +2.4652e+000 -8.2926e-002 +6.4840e+000 -3.2275e+000 +2.7627e+000 -5.8954e+000
91 +1.558589644e+002 +1.558589644e+002 +7.713896435e+001 +7.713896435e+001 -2.6196e+000 -4.4264e+000 +4.5765e-001 +4.0704e-001 -1.6915e+000 -2.4957e-001 +5.4863e+000 -3.6666e+000 +1.9133e+000 -3.8000e+000
62112 +1.#INF00000e+000 +1.558589644e+002 +1.#INF00000e+000 +7.713896435e+001 +1.1162e+029 -3.6203e+028 -7.0711e+028 -1.1549e+031 -4.6750e+028 -1.2023e+029 +2.9437e+028 -6.6746e+028 +1.3446e+029 -1.2355e+029
% function evaluation | noise-free fitness - Fopt (-6.949000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.868488982e+006 +4.868488982e+006 +4.868419492e+006 +4.868419492e+006 -1.8559e+000 +1.6104e+000 +4.4331e-001 +2.3185e+000 -4.7522e+000 -2.3106e+000 -2.8148e+000 -2.2790e-001 +2.0085e+000 +4.5037e+000
4 +2.700411898e+005 +2.700411898e+005 +2.699716998e+005 +2.699716998e+005 -7.0449e+000 -2.4785e+000 +8.7919e-001 +6.5971e-002 -2.3264e+000 -9.4407e+000 -1.5122e+000 +1.6223e+000 -1.8836e+000 +3.6065e+000
15 +1.595260503e+005 +1.595260503e+005 +1.594565603e+005 +1.594565603e+005 -2.3088e-001 +8.0703e-001 -4.0836e+000 -7.9653e-001 -2.1955e+000 +2.0234e+000 -1.4859e-001 +1.6561e+000 +3.1855e+000 -1.3661e+000
29 +1.373173909e+005 +1.373173909e+005 +1.372479009e+005 +1.372479009e+005 +7.1675e-001 -6.0450e-001 +1.6956e+000 +4.3951e-001 -6.2219e+000 -1.5799e+000 -1.3009e+000 -2.6143e+000 +2.0099e+000 +3.7727e+000
