% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.976397574e+006 +6.976397574e+006 +6.976473844e+006 +6.976473844e+006 -5.4461e+000 -2.9866e-001 +3.2649e+000 +3.6597e-001 -1.4233e+000 +4.4486e+000 -4.2230e+000 +2.0007e+000 -1.5990e+000 +3.2045e+000 -3.1158e+000 +6.2846e-001 -5.0981e+000 +5.1927e+000 -1.4268e+000 +1.1621e+000 -3.9106e+000 -5.1575e+000 -4.0397e+000 +3.7814e+000
5 +3.614085121e+006 +3.614085121e+006 +3.614161391e+006 +3.614161391e+006 -4.0648e+000 -1.8389e+000 -5.8070e-002 -2.3508e+000 -4.3103e+000 +4.4949e+000 -6.5315e+000 +2.0008e+000 -4.2667e+000 +4.7204e+000 -4.7384e+000 -1.4738e+000 -7.4726e+000 +1.4312e+000 -7.7810e+000 +3.1828e-001 +5.5370e+000 -7.8427e+000 -6.1433e+000 +5.5432e+000
6 +3.317230491e+006 +3.317230491e+006 +3.317306761e+006 +3.317306761e+006 -3.0773e+000 -6.5315e+000 -5.5945e+000 +1.5790e+000 -3.0816e+000 +3.1573e+000 -8.4326e+000 +8.6131e-001 -4.9479e+000 +6.7187e+000 -3.3960e+000 -7.5230e+000 -6.6375e+000 +2.7046e+000 -2.3512e+000 -3.4502e+000 -9.6830e+000 -3.9885e+000 +2.8453e-001 +3.5515e+000
7 +2.746351855e+006 +2.746351855e+006 +2.746428125e+006 +2.746428125e+006 -4.3970e+000 -3.1890e+000 -2.2562e+000 -3.0980e+000 -1.2675e+000 +5.5616e+000 -2.8583e+000 +2.4051e+000 -2.7099e+000 +6.2606e+000 -1.3997e+000 +1.4170e+000 -5.7095e+000 +4.0581e+000 -1.9083e+000 -7.7709e-001 -4.3635e-001 -6.3122e+000 -4.9685e+000 +9.8346e-001
9 +7.580538345e+005 +7.580538345e+005 +7.581301045e+005 +7.581301045e+005 -6.9305e+000 -2.6445e+000 +6.0956e+000 +1.3465e+000 -3.8146e+000 +3.5264e+000 -8.9324e+000 +2.0168e+000 -3.5852e+000 -7.0312e-001 -3.5562e+000 +5.5752e+000 -1.9039e-001 +2.7666e+000 -5.7904e+000 +4.1486e+000 +1.7950e+000 -2.8737e+000 +2.3315e+000 +8.1520e+000
30 +3.449835844e+005 +3.449835844e+005 +3.450598544e+005 +3.450598544e+005 -1.5118e+000 -4.7559e-001 +3.7000e+000 -2.2578e+000 -2.5690e+000 +6.0658e+000 -2.4226e+000 +8.8808e-001 -3.7521e+000 +1.7788e+000 -3.4664e+000 -4.0410e+000 +1.6551e+001 -1.5958e+000 -4.9678e+000 +2.1608e+000 -7.7947e+000 -3.9362e-001 -1.5172e+000 +2.5268e+000
46 +8.739175309e+002 +8.739175309e+002 +9.501875309e+002 +9.501875309e+002 -2.7930e+000 +2.2424e+000 -5.7634e-001 -6.0148e-001 -1.4243e+000 +1.7680e+000 -9.2887e+000 +6.6505e+000 -3.1008e-001 +4.7196e+000 -6.2103e+000 -1.3061e-001 -1.0833e+000 +1.1092e+000 -1.1069e+001 -1.7228e-001 +5.5927e-001 -4.0560e+000 -8.1065e-001 +3.0189e+000
186 +6.545748372e+002 +6.545748372e+002 +7.308448372e+002 +7.308448372e+002 -5.8132e+000 -1.6550e+000 +9.0454e-001 -4.8532e+000 -7.4585e-001 +4.5528e+000 -4.4025e-001 +2.3161e-001 -3.6312e+000 +2.6920e+000 -4.7911e+000 +1.6657e+000 -1.0835e+000 +4.4275e+000 -4.1755e+000 +1.4717e+001 -1.2445e+000 -8.4371e-001 -7.0781e+000 +5.4969e+000
96202 +1.#INF00000e+000 +6.545748372e+002 +1.#INF00000e+000 +7.308448372e+002 -6.6042e+028 -7.6054e+028 +5.8525e+028 +9.8091e+029 +1.4589e+031 +4.4301e+028 -3.8523e+029 -3.2242e+030 -5.9330e+028 +7.3849e+029 +3.0775e+029 -3.2163e+028 -1.9994e+029 -5.6965e+028 -3.3464e+028 -2.9426e+028 +4.1963e+028 -2.2864e+028 +1.4737e+029 -1.9493e+028
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.498193743e+006 +9.498193743e+006 +9.498171193e+006 +9.498171193e+006 -2.2571e-002 -1.5987e+000 -2.9029e+000 -5.6621e+000 +1.4303e+000 -1.6815e+000 -1.5031e+000 -8.3122e+000 -2.4692e+000 -3.9352e+000 +3.3031e+000 +8.9226e-001 -7.0078e+000 +2.0948e+000 -1.8308e+000 +3.6879e+000 -9.6096e-001 +3.6194e-001 +1.2961e+000 -2.2013e+000
2 +2.456093493e+006 +2.456093493e+006 +2.456070943e+006 +2.456070943e+006 +4.0192e+000 -2.5708e+000 +5.1605e+000 -2.9896e+000 -6.7267e-003 +7.9720e-001 -3.6820e+000 -1.7211e+000 +5.9506e+000 -1.1660e+000 +5.1732e+000 -4.6669e+000 +1.5891e+000 -2.9944e+000 +3.6448e+000 +5.3308e+000 +4.3960e-002 +7.7946e-002 +1.6375e+000 +2.3605e+000
4 +2.168128472e+004 +2.168128472e+004 +2.165873472e+004 +2.165873472e+004 -9.7877e-003 -4.2291e-001 +3.9555e+000 -8.4959e+000 +1.0182e+000 -6.5170e-001 +4.1236e+000 -4.0957e+000 +1.7520e+000 -1.7758e+000 +6.8611e+000 -4.3068e+000 +4.8080e+000 -4.1179e+000 +4.9412e+000 +3.8037e-001 +1.5837e+000 +9.4739e-001 +1.1894e+000 +1.7417e+001
6 +9.086073159e+003 +9.086073159e+003 +9.063523159e+003 +9.063523159e+003 -2.1151e+000 +2.8408e+000 +6.4243e-001 -9.2018e+000 +2.3070e+000 +6.5110e+000 +4.2919e+000 -8.7792e-001 +3.3181e+000 +2.0951e+000 +5.3643e+000 +3.6871e+000 +3.1139e-001 -3.1183e+000 +3.2429e+000 -5.0187e-001 -1.0982e+000 -5.4100e+000 +5.5321e+000 -4.2555e+000
12 +5.494258818e+003 +5.494258818e+003 +5.471708818e+003 +5.471708818e+003 -7.8134e-002 -6.9479e-001 -6.3865e-001 -4.4302e+000 -1.4886e-001 +3.2233e+000 +3.7747e+000 -8.3265e+000 +3.0908e+000 +9.2293e-001 +3.9895e+000 +6.0848e+000 -1.4228e-001 -4.2519e+000 -3.8809e+000 +2.3670e+000 -2.5110e+000 -1.3679e+000 -7.6535e-001 -3.2249e+000
35 +2.324121988e+002 +2.324121988e+002 +2.098621988e+002 +2.098621988e+002 -2.1801e+000 -1.3872e+000 +1.9046e+000 -1.4017e+000 +4.7300e-001 +1.3636e+000 +5.5018e-001 -2.1815e+000 -4.4279e+000 +5.1140e+000 +3.6031e+000 +1.7939e+000 -1.8261e+000 +1.2556e+000 +9.1043e-001 +1.8077e+000 -4.7992e-001 -1.3750e+000 -1.1360e+000 -2.8746e+000
96532 +1.#INF00000e+000 +2.324121988e+002 +1.#INF00000e+000 +2.098621988e+002 +1.8473e+029 +5.1009e+028 -2.2676e+029 +3.4187e+028 -3.2733e+028 -4.4760e+028 +1.8592e+029 +3.0145e+028 +9.9796e+030 +3.8812e+028 -5.1414e+028 +1.4328e+029 +3.2711e+030 +1.6374e+029 +3.2931e+028 -7.7591e+027 +1.9027e+028 +1.0564e+030 +3.5614e+028 -3.4542e+029
% function evaluation | noise-free fitness - Fopt (1.366000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.031951513e+002 +5.031951513e+002 +5.168551513e+002 +5.168551513e+002 -3.5188e+000 -7.9206e-001 +5.8295e+000 -5.0247e+000 +1.9236e+000 -4.7090e-001 -3.4280e+000 +3.6624e+000 -3.4333e+000 +6.2267e+000 +4.0224e+000 +2.9705e+000 +2.3263e+000 -8.0388e-001 +4.1452e+000 -4.4418e+000 -3.0887e+000 +3.5437e+000 +1.7910e-001 +8.9436e-001
229 +4.957958161e+002 +4.957958161e+002 +5.094558161e+002 +5.094558161e+002 -3.7696e+000 +6.0085e-001 +4.3911e+000 +2.6353e-002 +1.2238e+000 +1.9745e+000 +8.3445e+000 +5.0326e+000 -7.6146e-001 +4.8172e+000 -8.9651e-001 +1.4840e+000 -1.4412e+000 -2.8854e+000 +5.2462e-001 -6.0490e+000 -2.3820e+000 +8.0558e+000 +9.1422e-001 -4.8388e+000
89286 +1.#INF00000e+000 +4.935760794e+002 +1.#INF00000e+000 +5.072360794e+002 -1.1761e+031 +8.7956e+028 -1.2099e+029 -3.5671e+029 +2.1953e+028 -2.5990e+029 +2.9179e+029 +1.2486e+029 -1.3497e+029 -7.6306e+028 +2.5406e+028 -5.2782e+026 -5.8118e+027 +3.8698e+029 +2.1763e+028 -7.8729e+028 -1.6622e+028 -1.7139e+029 +2.0955e+027 -3.6907e+028
% function evaluation | noise-free fitness - Fopt (9.378400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.076056109e+007 +2.076056109e+007 +2.076149893e+007 +2.076149893e+007 +3.2664e+000 +1.2619e+001 -5.9189e+000 +8.6463e-001 +1.9473e+000 -2.2641e+000 +1.1728e+000 -2.4754e+000 -2.0354e+000 +6.5480e+000 -5.9501e+000 +2.1527e+000 -3.8972e+000 +9.4305e+000 -8.7175e-001 -3.1579e+000 -6.0112e-001 -2.9009e+000 +8.4152e+000 +5.5957e-001
3 +7.580775262e+006 +7.580775262e+006 +7.581713102e+006 +7.581713102e+006 -1.9067e+000 +3.2090e+000 +7.0163e+000 +2.8169e+000 -1.0299e+000 -6.5894e+000 +1.4669e+000 -3.3925e-001 -2.6430e+000 +7.3190e-001 +2.8481e-001 -7.0120e-001 -1.4081e+000 +1.5171e+000 +4.0208e+000 -3.6605e+000 -3.9270e+000 -4.1351e+000 +4.2570e+000 -5.3121e+000
6 +4.640671490e+006 +4.640671490e+006 +4.641609330e+006 +4.641609330e+006 +5.7149e+000 +4.6242e+000 +2.5205e+000 -5.9904e-001 -1.3999e+000 -2.2678e+000 +5.6481e-001 -1.7564e+000 +2.9422e+000 +4.9778e+000 -3.2532e+000 -4.4741e+000 +6.4928e-001 +2.8496e+000 +5.1027e+000 -4.3423e+000 -2.6957e+000 -8.7814e-002 -8.6914e-002 +2.8631e-001
8 +6.136604806e+002 +6.136604806e+002 +1.551500481e+003 +1.551500481e+003 +1.7193e+000 +6.1208e+000 +2.5491e+000 -4.2451e+000 -5.1382e+000 -3.2327e+000 +1.1741e+000 -3.7711e+000 -4.8207e+000 +5.8221e+000 -4.9696e+000 +3.6458e-001 -1.1755e+000 -3.1101e+000 +2.0255e+000 -5.0137e+000 -2.3711e+000 -6.8216e+000 +4.4656e+000 +1.5315e+000
105 +2.892525117e+002 +2.892525117e+002 +1.227092512e+003 +1.227092512e+003 +1.8257e+000 +4.4234e+000 +3.3929e+000 -3.8539e+000 -6.8769e+000 -8.8790e-001 -1.9986e+000 -3.5921e+000 -2.9141e+000 +4.2271e+000 -2.6398e+000 -1.2970e+000 +1.3536e+000 +1.5025e+000 +3.0645e+000 -3.1743e-001 -3.8863e+000 -6.2571e+000 +4.9507e+000 -1.4282e+000
96310 +1.#INF00000e+000 +2.892525117e+002 +1.#INF00000e+000 +1.227092512e+003 +5.0113e+027 -7.6496e+028 +2.9684e+029 -1.2704e+028 +4.5046e+027 -9.6311e+029 -1.8312e+029 -1.7421e+031 +3.0605e+028 +1.4721e+028 +8.4868e+028 -4.9644e+028 +3.7998e+029 +1.4273e+028 -3.7611e+028 +1.0713e+029 -2.0990e+029 +1.4259e+030 -1.7372e+028 -9.2796e+027
% function evaluation | noise-free fitness - Fopt (-7.872000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.378592800e+006 +1.378592800e+006 +1.378514080e+006 +1.378514080e+006 +7.5543e+000 -2.5458e+000 +8.6892e-002 +5.4626e+000 -3.7573e+000 +5.3432e+000 +2.2660e+000 -2.3668e+000 -2.8318e+000 +6.0822e-003 -1.0275e+000 -3.7009e-001 -1.8257e+000 +1.8238e+000 -2.9065e+000 -3.3121e+000 -2.7633e+000 -2.4892e+000 +4.6846e+000 -2.7245e+000
3 +4.206757637e+005 +4.206757637e+005 +4.205970437e+005 +4.205970437e+005 +2.8779e+000 +2.8783e+000 +4.7685e+000 +2.8345e+000 -2.4376e+000 +3.1660e-001 +2.0043e+000 -7.2911e+000 -6.4319e+000 +6.1046e+000 -9.0471e-001 +4.5948e-001 -1.4695e+001 +3.2531e+000 -5.3704e+000 +5.1472e+000 -6.1562e+000 -3.9230e-002 +2.2083e+000 -2.0728e+000
4 +4.124037783e+005 +4.124037783e+005 +4.123250583e+005 +4.123250583e+005 +3.0020e+000 -4.0340e+000 +2.7846e+000 +5.2199e+000 -3.5328e+000 +2.4735e+000 +4.5214e+000 -4.7934e-001 -2.4697e+000 +5.4506e+000 -1.3478e+000 +1.0572e-001 -5.4069e+000 +3.2812e+000 +6.5959e+000 +4.3364e+000 -2.8473e+000 -1.9391e+000 +2.3605e+000 -6.4530e+000
7 +3.296731662e+005 +3.296731662e+005 +3.295944462e+005 +3.295944462e+005 +1.1804e+000 +1.7859e+000 +3.8998e+000 -2.2705e+000 -1.0567e+000 +1.9000e+000 +3.7095e+000 +5.9142e-001 -5.5284e+000 +1.0252e+000 -1.2496e+000 -6.1299e+000 -3.4680e+000 +3.6514e-001 +1.9277e+000 +1.7729e+000 -3.2393e+000 +5.2623e-001 +1.2491e+000 +1.3778e+000
12 +7.576490505e+004 +7.576490505e+004 +7.568618505e+004 +7.568618505e+004 -1.4656e+000 -2.1185e+000 +3.1375e+000 +4.2923e+000 -5.6256e+000 +8.1575e-001 -3.8704e+000 -1.0132e+000 -4.7463e+000 -2.0578e+000 -7.9713e-001 -2.6425e+000 -5.5438e-002 -6.7194e-001 +4.2631e+000 +3.7215e+000 -2.7964e+000 +1.9969e+000 +1.6704e+000 -1.0890e+000
19 +5.981767825e+004 +5.981767825e+004 +5.973895825e+004 +5.973895825e+004 +5.7221e+000 +1.8640e+000 +3.0676e+000 +2.7844e-001 -4.5266e+000 +4.6817e-001 +1.2107e+000 -2.9692e+000 -4.5070e+000 +5.5149e+000 -1.4809e+000 +1.5636e+000 -4.7498e+000 +3.0362e+000 -1.8026e-001 +7.2005e+000 -2.8575e+000 -1.3737e+000 +1.7940e+000 -1.1364e-001
25 +4.511739301e+004 +4.511739301e+004 +4.503867301e+004 +4.503867301e+004 +1.0245e+001 -2.0887e+000 +7.2209e+000 +3.2114e+000 +1.6346e+000 -3.3439e-001 +1.6883e+000 +8.7035e-001 -2.7315e+000 +2.7258e+000 +2.1301e-001 +1.1817e-001 -3.5036e+000 +6.5456e-001 -1.1878e-001 +1.7298e-001 -3.8145e+000 +4.3266e+000 +2.2293e+000 -2.8579e+000
30 +1.241531741e+003 +1.241531741e+003 +1.162811741e+003 +1.162811741e+003 +2.0902e+000 -2.8775e+000 +6.2879e+000 +1.8320e-001 -2.5064e+000 -1.7547e+000 +3.2984e+000 +1.3908e+000 -3.9423e+000 +7.9231e+000 -1.3894e+000 -3.0996e+000 -3.2080e+000 +9.0660e-001 +5.5774e-001 +1.4574e+000 +6.6317e-001 +5.7802e-001 +2.3634e+000 -1.8161e+000
86 +8.101086785e+002 +8.101086785e+002 +7.313886785e+002 +7.313886785e+002 +4.7409e+000 -2.1126e+000 +1.2998e+000 +1.1209e+000 -6.6215e+000 -8.1148e-002 -4.3127e-001 -2.0082e+000 -2.7598e+000 +1.9997e+000 +3.8504e+000 -1.0585e+001 -2.2219e+000 -5.1286e-001 -3.3240e-001 +3.2923e+000 -3.2768e+000 -7.0715e+000 +3.8740e+000 -1.0299e+001
96 +5.181242415e+002 +5.181242415e+002 +4.394042415e+002 +4.394042415e+002 +4.5613e+000 -1.8207e+000 +2.5020e-001 +1.0482e+000 -1.7380e+000 +1.2581e+001 +4.1643e+000 -8.2617e-001 -2.4914e+000 +4.1520e+000 -6.8635e+000 -3.2739e+000 -5.3427e+000 +3.9120e+000 -5.8515e+000 +1.1213e+000 -5.4719e+000 -1.6305e+000 -1.3020e+000 -3.8350e+000
534 +5.020361873e+002 +5.020361873e+002 +4.233161873e+002 +4.233161873e+002 +4.6582e-001 -6.9608e+000 +1.3864e+000 +5.1544e+000 +1.9631e+000 -9.3258e+000 +1.4116e+000 +1.7921e-001 -5.6070e+000 +6.8188e-001 -1.2761e+000 -6.6329e+000 -3.7923e+000 +7.6501e+000 +3.4163e+000 -2.5360e+000 -2.4918e-001 +1.3879e+000 -1.8201e+000 -5.4505e+000
