% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.024586783e+007 +2.024586783e+007 +2.024565795e+007 +2.024565795e+007 -1.8543e+000 -6.3655e+000 +3.2025e+000 +4.3383e+000 -1.9485e+000 -6.9543e-001 +5.8114e-001 +3.7897e+000 +2.4924e+000 +6.5804e+000 +6.6191e+000 +2.7963e+000 +5.4215e+000 +4.4602e+000 -2.8209e+000 -1.2536e-001 +6.8438e-001 -2.5565e+000 -3.3010e+000 +5.2187e+000
12 +5.886505968e+006 +5.886505968e+006 +5.886296088e+006 +5.886296088e+006 -4.1457e+000 -6.0717e+000 +4.4799e+000 +3.3428e+000 +3.5255e-001 +2.1201e+000 +7.0910e+000 +7.3173e+000 -6.7630e+000 +8.9005e+000 +1.8280e+000 +2.6702e+000 +5.9999e+000 +1.7854e+000 +2.7444e+000 -3.5300e+000 +1.9178e+000 +3.1984e-001 -2.3820e+000 +2.8634e+000
145 +4.682045144e+006 +4.682045144e+006 +4.681835264e+006 +4.681835264e+006 +1.2929e+000 -2.3389e+000 +5.1684e+000 +5.2373e+000 -1.6924e+000 +8.2524e-001 +2.9877e+000 +5.0007e+000 +2.1885e+000 +9.7021e+000 +8.1382e-001 -1.1527e-001 +3.5351e+000 +3.4813e+000 -1.5156e+000 +7.7920e-002 -8.4236e+000 +1.7349e+000 -2.4957e+000 +1.9065e+000
182 +3.521986331e+006 +3.521986331e+006 +3.521776451e+006 +3.521776451e+006 -5.6765e-001 -1.9413e+000 +2.6074e+000 +4.6682e+000 -1.3570e+000 -2.1565e-001 +7.2826e+000 +4.6686e+000 +1.9197e+000 +4.8402e+000 +2.6558e+000 +4.2246e+000 +5.5653e+000 +7.4114e+000 +2.1323e+000 +8.8494e-004 -2.6883e+000 +1.9336e+000 -1.0000e+000 +1.5576e+000
189 +3.258348294e+006 +3.258348294e+006 +3.258138414e+006 +3.258138414e+006 -4.0213e+000 -3.8259e+000 +4.0934e+000 +2.4800e+000 +7.8326e-001 +2.3375e-001 +1.7007e+000 +4.9178e+000 +4.4656e+000 +3.0487e+000 +1.9949e+000 +2.9019e+000 +4.6977e+000 +1.1711e+000 -2.3411e+000 -1.4666e+000 +1.6031e-001 +2.1035e+000 -1.1684e+000 +2.7887e+000
242 +2.313969240e+006 +2.313969240e+006 +2.313759360e+006 +2.313759360e+006 -1.9843e+001 -7.4870e+000 +5.7464e+000 +4.8177e+000 -1.0749e+000 +7.9593e-001 -5.2433e+000 +3.0268e+000 +8.6753e-001 +1.1019e+001 +7.4449e-001 +3.4110e+000 +1.0164e+001 +4.5431e+000 +2.5976e-001 -3.7979e+000 -2.9580e-002 +4.1451e+000 -2.8861e+000 +2.1177e+000
317 +1.693531405e+006 +1.693531405e+006 +1.693321525e+006 +1.693321525e+006 -2.7813e+000 -4.2976e+000 +6.6901e+000 +4.5768e+000 +1.3749e-001 +2.5924e+000 +1.8203e+000 +5.8011e+000 +2.6195e+000 +3.1433e+000 +4.3699e+000 -7.9981e-001 +1.3663e+000 +3.2289e+000 -2.5826e+000 -2.4397e+000 -4.2595e-001 +3.0673e+000 -1.4608e+000 +1.8751e+000
318 +1.615842572e+006 +1.615842572e+006 +1.615632692e+006 +1.615632692e+006 -4.9435e-001 -3.9746e+000 +1.8912e+000 +3.5866e+000 +1.0567e+000 -2.2364e+000 +1.3423e+000 +3.3194e+000 +1.3569e+000 +6.4979e+000 +4.6890e+000 +3.4250e-001 -1.0307e+000 +3.8200e+000 -4.1601e+000 -2.4068e+000 -1.7720e+000 +1.8275e+000 -2.9195e+000 +2.1297e+000
405 +1.050591213e+006 +1.050591213e+006 +1.050381333e+006 +1.050381333e+006 +5.0881e-001 -3.2361e+000 +8.3969e+000 +3.2315e+000 -2.8463e+000 +1.2319e+000 +6.8242e-001 +8.9989e+000 +4.9474e+000 +7.2578e+000 +4.5263e+000 -2.2173e+000 +4.3606e+000 +1.4878e+000 -8.9891e-001 -4.4260e+000 -2.6097e+000 +1.9181e+000 -2.0258e+000 +1.2401e+000
654 +4.065886899e+005 +4.065886899e+005 +4.063788099e+005 +4.063788099e+005 -1.6605e+000 -3.7660e+000 +8.0861e+000 +1.4909e+000 +6.7794e+000 +3.3112e+000 -2.1020e+000 -2.0536e+000 -9.9665e-001 +6.9054e+000 -7.7033e+000 +3.0116e+000 +4.4766e+000 +9.5858e-001 -2.6747e+000 -4.4118e+000 -2.0132e+000 +3.1551e+000 -2.3407e+000 +1.8462e+000
