% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.507724856e+006 +5.507724856e+006 +5.507760756e+006 +5.507760756e+006 +1.8851e+000 -9.2822e+000 +4.2041e+000 -5.4633e-001 +1.4487e+001 -2.4019e-003 +1.4152e+001 -5.4051e+000 +9.6530e-001 -2.2442e+000 -6.0805e+000 -1.3703e+000 +1.8693e+001 +6.9465e+000 -1.6318e+001 -1.0796e+000 -3.2332e+000 -9.8480e-001 -2.6977e+000 +4.8862e+000
2 +1.306633117e+006 +1.306633117e+006 +1.306669017e+006 +1.306669017e+006 +1.4397e+000 +2.9717e+000 +3.3106e+000 +1.2291e+000 -3.8453e+000 -1.3539e-001 +1.8597e+000 -3.8706e+000 +6.0156e+000 -1.5468e+000 -2.2224e+000 +2.7696e+000 +6.4420e+000 +2.6288e+000 -2.0342e+000 -2.3434e+000 -2.5534e+000 -3.0685e+000 -3.8112e+000 +5.9664e-001
13 +1.032901023e+006 +1.032901023e+006 +1.032936923e+006 +1.032936923e+006 +2.3924e+000 +1.4104e+000 +6.3194e+000 -1.7045e+000 -7.4989e+000 -1.9140e-001 +9.0151e+000 -2.2168e+000 +2.1378e+000 +5.3329e+000 -1.5210e+000 +3.8829e+000 +5.9251e+000 +2.6915e+000 -1.5155e+000 -5.2662e+000 +1.1925e-001 +1.4456e-001 -2.2442e+000 +2.1890e+000
43 +8.437655346e+005 +8.437655346e+005 +8.438014346e+005 +8.438014346e+005 -5.3517e-001 +5.6101e-001 +4.6853e+000 -2.0412e+000 -2.1439e+000 -1.1884e+000 +5.5438e+000 -3.7950e+000 +2.2697e+000 -2.9545e+000 -3.9214e+000 +2.0366e-001 +3.4181e+000 +2.6469e+000 -2.2149e+000 -2.3397e+000 -2.8511e+000 -1.4466e-001 -3.1046e+000 +5.8312e-001
81 +7.374560986e+005 +7.374560986e+005 +7.374919986e+005 +7.374919986e+005 +1.3947e+000 +2.5924e+000 +5.1312e+000 +4.1708e+000 -4.3068e+000 +1.9869e+000 +1.6336e+000 -1.7965e+000 +5.4350e+000 +1.3512e+000 -1.5542e+000 +2.8325e+000 +2.3214e+000 +5.6298e+000 -4.0240e+000 -7.9626e+000 -1.5320e+000 +3.5309e+000 -3.6790e+000 +6.0074e-001
90 +6.469154217e+005 +6.469154217e+005 +6.469513217e+005 +6.469513217e+005 +3.9012e-001 +2.0941e+000 +4.3505e+000 -6.1482e-001 -1.7786e+000 -1.8799e-001 +2.5716e+000 -4.6258e+000 +1.6878e+000 -1.8663e+000 -2.9025e+000 +5.8473e+000 +5.5222e-001 +3.5881e-001 -5.5872e-001 -8.5236e+000 -2.9344e+000 -1.1378e-002 -5.1309e+000 +2.8185e+000
105 +6.244196588e+005 +6.244196588e+005 +6.244555588e+005 +6.244555588e+005 -2.0848e+000 +4.3659e+000 +5.3103e+000 -9.0456e-001 -6.3100e+000 +1.0911e+000 +3.6230e+000 -4.4942e+000 +4.5690e+000 -1.7686e+000 -1.0173e+000 +4.4867e+000 +5.3313e+000 +8.2094e-001 -4.2090e+000 -2.2849e+000 -1.9671e+000 +6.4945e+000 -4.0128e+000 +3.8040e+000
114 +5.981856166e+005 +5.981856166e+005 +5.982215166e+005 +5.982215166e+005 -9.9886e-001 +4.4796e+000 +3.8428e+000 -5.9223e-002 -4.5757e+000 +3.0234e+000 +1.4173e+000 -6.7878e+000 +5.5409e-002 -4.3303e+000 -2.5677e+000 +4.0523e+000 +3.3201e+000 +2.7513e+000 -2.9660e+000 -5.8836e+000 -3.1755e+000 +1.4144e+000 -5.5410e+000 +2.4261e+000
138 +5.374771670e+005 +5.374771670e+005 +5.375130670e+005 +5.375130670e+005 +1.5570e+000 +1.9636e-001 +5.0803e+000 +2.8825e+000 -3.3027e+000 +1.2362e+000 +1.7435e+000 -3.9091e+000 +1.7543e+000 +6.4282e-001 -1.4333e+000 -2.4350e+000 +6.8911e+000 +2.4575e+000 -1.5266e+000 -2.8378e+000 -1.4063e-001 +2.6384e+000 -4.4954e+000 -2.8253e+000
202 +4.479879566e+005 +4.479879566e+005 +4.480238566e+005 +4.480238566e+005 +4.0917e-003 +2.6306e+000 +1.2564e+001 -1.8175e+000 -2.7975e+000 +1.1221e+000 +5.3453e+000 -4.5611e+000 -2.7068e+000 -5.4189e-001 -9.3257e-001 +2.7756e+000 +3.5689e+000 +1.5018e+000 -1.7801e+000 -3.5321e+000 -3.3711e-001 +8.3340e+000 -4.3040e+000 -1.6441e-002
203 +3.559976981e+005 +3.559976981e+005 +3.560335981e+005 +3.560335981e+005 +3.4348e+000 +2.2138e+000 +5.1716e+000 -1.8935e+000 -2.4018e+000 +1.3432e+000 +3.3965e+000 -3.2478e+000 +3.0254e+000 -1.8804e+000 +1.2460e+000 +3.6547e+000 -1.0254e+000 +2.5231e+000 -3.0051e+000 -4.6957e+000 -1.3576e+000 +4.9336e+000 -6.8815e+000 +5.9363e-001
305 +2.891381513e+005 +2.891381513e+005 +2.891740513e+005 +2.891740513e+005 +1.4030e+000 +5.4350e+000 +5.1264e+000 -5.5260e-001 -5.1062e+000 -1.1943e+000 +3.6027e-001 -5.7394e+000 +1.4403e+000 -3.0223e+000 -6.6322e+000 +8.7975e-001 +1.1641e+000 +1.7618e+000 -3.0783e+000 -2.5925e+000 -1.5661e+000 +2.8711e+000 -5.6552e+000 +1.1614e+000
