% function evaluation | noise-free fitness - Fopt (7.948000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.358728966e+002 +4.358728966e+002 +5.153528966e+002 +5.153528966e+002 -2.3099e+000 +4.7319e+000 -4.1952e+000 +2.3526e+000 -2.5446e+000 -4.1652e+000 +3.2615e-001 -5.6541e-001 +2.4103e-001 -7.1839e+000 +3.5428e+000 +3.1433e+000 +1.1485e+000 -1.1147e+001 +5.0469e+000 +1.8162e+000 +1.7544e+000 +6.9001e+000 +1.7117e-001 -4.3731e+000
2 +3.512203835e+002 +3.512203835e+002 +4.307003835e+002 +4.307003835e+002 -3.9556e+000 -8.7596e+000 -7.6976e+000 +8.6151e-001 -3.9675e+000 +7.5614e-001 +1.4109e+000 +1.1105e-001 +1.0803e+000 +3.5615e+000 +3.1672e+000 +4.1208e+000 -9.1377e-001 +5.0733e+000 +4.0718e+000 +2.7558e+000 +1.5841e+000 +2.5268e+000 -2.2765e+000 -3.1232e+000
3 +3.303144180e+002 +3.303144180e+002 +4.097944180e+002 +4.097944180e+002 -1.6984e+000 -5.6184e+000 -7.8818e+000 +1.2081e+000 -5.1734e+000 -1.8045e-001 +5.4675e+000 +5.3598e+000 -1.0454e+000 +1.7248e+000 +2.3240e+000 +4.7877e+000 -1.3068e+000 +2.0678e+000 +2.3038e+000 -2.2930e-001 -9.5407e-002 +3.2610e+000 -9.3709e-001 -4.6431e+000
4 +2.578261288e+002 +2.578261288e+002 +3.373061288e+002 +3.373061288e+002 -2.2875e+000 -7.4814e+000 +4.8361e-001 +3.0999e+000 -3.6426e+000 -1.2584e+000 +3.7046e+000 +2.2109e+000 -2.3674e+000 +2.9721e+000 +3.7494e+000 +6.8759e+000 +1.2014e+000 +1.5684e+000 +3.1389e+000 +1.2354e+000 +3.6885e+000 +1.0842e+000 +5.7379e-001 -2.9829e+000
5 +1.733603461e+002 +1.733603461e+002 +2.528403461e+002 +2.528403461e+002 -2.1466e+000 +2.6985e+000 -1.1278e+000 -6.9338e-001 -3.5595e+000 -2.1599e+000 +1.1333e+000 +1.8318e+000 -1.2653e+000 +3.3797e+000 -9.4705e-001 +6.2361e+000 +3.1554e-001 +8.8113e-001 +3.7047e+000 +2.5124e+000 +3.6409e+000 +1.6858e+000 +8.8510e-002 -2.3000e+000
105 +1.602608209e+002 +1.602608209e+002 +2.397408209e+002 +2.397408209e+002 +4.0243e-001 -4.1967e+000 -8.3010e-001 -2.1263e+000 -4.3256e+000 +3.4777e+000 +4.5772e+000 -3.4531e-001 -3.4195e+000 -4.8567e+000 +1.7612e-001 +3.0783e+000 -2.4252e+000 +2.4952e+000 +3.3146e+000 +1.1670e+000 +2.2104e+000 -1.1162e-001 -1.9990e+000 -2.5648e+000
126 +1.434994145e+002 +1.434994145e+002 +2.229794145e+002 +2.229794145e+002 -3.6524e-001 -2.9986e+000 -2.5177e+000 +1.4578e-001 -3.4276e+000 +3.7446e-001 -3.8484e+000 -2.3242e-001 -2.1166e+000 -3.4698e-001 +4.8502e-002 +6.3755e+000 +1.7232e+000 +2.2731e+000 +3.4296e+000 +1.0407e+000 +4.1615e+000 -1.4752e-001 +8.0194e-001 -4.3287e+000
156 +1.344358346e+002 +1.344358346e+002 +2.139158346e+002 +2.139158346e+002 -4.6740e-001 -2.6357e+000 -2.5989e+000 +1.8040e+000 -3.7530e-001 -1.8391e+000 +3.4495e+000 -1.7623e+000 -2.0627e+000 +1.5012e+000 +1.2553e+000 +3.4021e+000 -1.9137e+000 +1.2562e+000 +5.6865e+000 +3.6770e+000 +1.4932e+000 -1.5384e+000 -2.5508e+000 -7.5937e-001
171 +1.274020526e+002 +1.274020526e+002 +2.068820526e+002 +2.068820526e+002 -4.8693e-001 -3.7567e+000 -2.7573e+000 +4.8497e+000 -2.7736e+000 -1.5160e+000 -2.0831e+000 +2.3607e+000 -6.7896e+000 -1.0370e+000 +1.3228e+000 +1.3982e+000 +1.4078e+000 +4.1847e+000 +5.3623e+000 +1.0716e+000 +5.0042e-001 -3.8746e+000 -9.1228e-001 +2.4266e+000
230 +1.247587098e+002 +1.247587098e+002 +2.042387098e+002 +2.042387098e+002 +3.8354e-001 -5.6724e+000 +4.0292e-001 +3.6100e-001 -1.7814e+000 +3.5935e-002 -1.0280e+000 -2.1642e-001 -4.9930e+000 -8.5742e-001 -2.5936e-001 +3.4544e+000 +5.2311e+000 +8.2118e-001 +2.9558e+000 -1.7161e+000 +2.1298e+000 -8.1323e-001 -4.0342e-001 -9.5522e-001
234 +1.110356460e+002 +1.110356460e+002 +1.905156460e+002 +1.905156460e+002 +1.1736e-001 -2.5631e+000 -6.5084e+000 +3.4747e+000 -2.5365e+000 -9.1133e-001 +2.6251e+000 +2.2367e+000 -1.4740e+000 -2.8687e+000 +9.0560e-001 +4.9059e+000 +1.1101e+000 -8.0074e-002 +3.7493e+000 +1.5832e+000 -1.6075e+000 -1.4345e-001 +1.1557e+000 -1.5626e+000
261 +8.642479013e+001 +8.642479013e+001 +1.659047901e+002 +1.659047901e+002 -2.0495e+000 -1.1127e+000 -1.7137e+000 +1.5702e-002 +3.6344e-002 -2.7298e+000 -3.1473e+000 -7.2699e-002 -4.7872e+000 -4.5809e+000 -4.2723e+000 +2.6312e+000 +4.0623e+000 +3.0510e+000 +3.2833e+000 +2.2736e+000 +6.3973e-001 -4.0535e+000 +5.6185e-001 -2.3772e+000
