% function evaluation | noise-free fitness - Fopt (-5.235000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.466705355e+002 +1.466705355e+002 +9.432053549e+001 +9.432053549e+001 +3.9461e+000 +3.2062e+000 +3.0084e+000 -1.2205e+000 -3.6783e+000 +5.6897e+000 -5.9880e-002 -9.1180e-001 -8.7855e-001 +6.1706e+000 -4.3974e+000 +6.1864e+000 +6.7826e+000 -2.2034e+000 +4.8062e+000 -1.1210e+000 -3.3391e+000 +5.7456e+000 -1.9924e+000 +5.9440e-001
46 +1.171472466e+002 +1.171472466e+002 +6.479724659e+001 +6.479724659e+001 -6.5798e-001 -1.1911e+000 -2.6027e-001 +1.4651e+000 +1.7078e+000 -2.4145e-001 -2.8060e+000 -1.1431e-001 -6.8734e-001 +1.0878e+000 -2.5282e+000 +7.1256e+000 +2.7967e+000 -4.4175e+000 -5.1807e+000 -1.8298e+000 +1.9331e-001 -2.0044e+000 +5.9286e-001 +4.1739e-001
102 +9.832950056e+001 +9.832950056e+001 +4.597950056e+001 +4.597950056e+001 +1.8786e+000 +6.5922e+000 -2.5722e+000 -2.1322e+000 -8.9141e-001 +3.4477e+000 +1.7605e+000 +9.0930e-001 +1.4515e+000 +3.4841e-001 -1.9051e+000 +5.1767e+000 +3.8659e+000 -8.5735e-001 +6.7790e+000 -3.0467e+000 +3.7195e+000 +9.9417e-001 -3.7872e-001 -5.3355e-001
114 +6.724883590e+001 +6.724883590e+001 +1.489883590e+001 +1.489883590e+001 +6.4588e+000 +4.5193e-001 +5.0702e+000 -3.6508e-001 +1.1713e+000 +9.9167e-001 +6.8964e+000 -3.8270e+000 -3.6483e+000 -1.4604e+000 -4.4205e+000 +2.6134e+000 +4.4403e+000 -5.0984e+000 -3.3905e-001 -3.3609e+000 +9.8540e-001 +2.4307e+000 +1.4853e+000 -2.0567e+000
242 +6.193671007e+001 +6.193671007e+001 +9.586710070e+000 +9.586710070e+000 +2.7251e+000 +2.8318e+000 +3.2416e-001 +1.2024e+000 -3.0885e+000 -4.2475e-001 -7.0700e-002 -3.9685e+000 -2.2067e+000 -1.5531e+000 -4.5012e+000 -3.7136e+000 +2.1690e+000 -6.9900e-001 +7.1874e+000 +1.2099e-001 +3.8008e+000 +2.7913e+000 -1.2824e+000 -2.4452e+000
296 +6.031235808e+001 +6.031235808e+001 +7.962358083e+000 +7.962358083e+000 +3.7665e+000 +5.7174e+000 -9.1564e-001 +2.1165e+000 +2.3316e+000 +2.0163e+000 +9.5999e-001 -5.3625e-001 +3.3232e-001 -2.4413e+000 -2.2326e+000 +3.3164e+000 +2.4468e+000 -1.2952e+000 +8.4441e-001 -3.8448e+000 +1.4699e+000 +1.8726e+000 +1.3240e+000 -7.6623e-001
332 +5.553242436e+001 +5.553242436e+001 +3.182424365e+000 +3.182424365e+000 -1.6513e+000 -9.9803e-001 +3.6656e+000 +5.5322e-001 -4.1068e-001 +1.6269e+000 -2.0711e+000 -2.9039e+000 -2.3660e+000 -3.6411e+000 -5.0156e+000 +4.2827e+000 +1.3144e+000 -6.3502e+000 +5.6418e+000 -2.4529e+000 +1.9361e+000 +3.6288e+000 +1.0192e+000 -2.4611e-001
336 +4.597009031e+001 +4.597009031e+001 -6.379909695e+000 -6.379909695e+000 +2.8780e+000 -3.5854e-001 +1.8482e+000 -2.0760e+000 -1.0947e-001 -4.9451e-001 +1.7769e+000 -1.5280e+000 -1.2398e+000 +3.9915e-002 -1.3442e+000 +5.2984e+000 +1.2114e+000 -2.0665e+000 -1.9202e+000 -3.7337e+000 +3.6301e+000 -3.2042e+000 +7.7509e+000 -3.1566e+000
377 +3.643677764e+001 +3.643677764e+001 -1.591322236e+001 -1.591322236e+001 +3.5446e-001 +2.4063e+000 +1.5830e+000 -6.0595e-001 -4.5855e-001 +2.0256e+000 +7.6871e-001 -5.2017e-001 -2.2191e+000 -8.5467e-001 -2.3830e+000 +5.9757e+000 +2.4712e+000 -5.6584e-001 +2.6259e+000 -3.6835e+000 -9.5826e-001 +2.1682e+000 +1.3246e+000 -5.5215e-002
556 +3.390489758e+001 +3.390489758e+001 -1.844510242e+001 -1.844510242e+001 +2.8477e+000 +1.6747e+000 +1.6017e+000 -1.2976e+000 +2.6625e-001 +6.2442e-001 -1.5494e+000 -1.4751e+000 -9.9186e-001 -2.9325e+000 -1.4652e+000 +3.3343e+000 +3.6513e+000 -3.0692e+000 +1.8862e+000 -3.3934e+000 +2.8821e+000 +3.0879e+000 -5.9675e-002 -2.8357e+000
