% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.512583026e+003 +2.512583026e+003 +2.050493026e+003 +2.050493026e+003 -1.0162e-002 -4.1286e+000 +5.2261e+000 -4.6104e+000 +1.6949e+000 -2.3610e+000 +5.4489e+000 +1.3531e+000 -1.1832e+000 +8.4636e+000 -5.0283e+000 -3.9782e+000 +2.4154e+000 -2.0849e+000 +3.2874e+000 -2.3826e+000 -5.3109e+000 +4.8513e+000 +2.2287e+000 +8.3226e-001
2 +1.866185146e+003 +1.866185146e+003 +1.404095146e+003 +1.404095146e+003 +1.8263e+000 -7.8964e-001 +1.9072e+001 -4.2484e+000 -1.3960e+000 -4.2087e+000 +1.6911e+000 -2.7863e+000 +2.6686e-001 +6.0097e+000 +1.0425e+000 +1.2496e-001 +1.6797e+000 -7.9365e+000 -7.2968e+000 -3.6982e+000 -9.5053e-002 +4.7166e+000 +1.0292e-001 +2.5814e+000
7 +1.548488390e+003 +1.548488390e+003 +1.086398390e+003 +1.086398390e+003 -2.7235e+000 -3.2897e-001 +7.4831e+000 -1.3952e+000 -2.2075e+000 -4.9991e+000 +2.0921e+000 +1.9803e+000 -7.7113e-001 +5.7800e+000 -3.8575e+000 -1.2420e+000 -1.3904e+000 -8.7008e-001 +6.8023e-001 -6.9214e+000 -3.2024e+000 +5.4504e+000 +5.7494e-001 +5.5949e+000
9 +1.298771929e+003 +1.298771929e+003 +8.366819292e+002 +8.366819292e+002 +2.1674e+000 -8.1870e-001 +2.8700e+000 -3.2047e+000 -4.6312e+000 -2.5174e+000 -1.0351e+000 -2.9150e+000 +6.6042e-001 +3.8267e+000 -5.4790e+000 +1.2395e+000 +2.3505e+000 +3.6955e-001 +1.1562e+000 -1.7197e+000 -6.6319e+000 +3.7407e+000 -5.5946e+000 +2.8141e+000
10 +9.604571569e+002 +9.604571569e+002 +4.983671569e+002 +4.983671569e+002 -4.0063e-001 +1.3737e+000 +6.0244e+000 -5.4619e+000 -5.4099e+000 -2.6770e+000 -3.6250e-001 +1.9749e+000 -3.6375e+000 +1.5894e+000 +7.3275e-001 -2.0521e+000 +3.1217e+000 -2.2891e+000 +1.7949e+000 -4.3164e+000 -2.4752e+000 +5.0194e+000 -2.8275e-001 +2.6423e+000
12 +8.625382659e+002 +8.625382659e+002 +4.004482659e+002 +4.004482659e+002 +1.7625e+000 -6.2267e-001 +5.1766e+000 -1.1494e+001 -3.9444e+000 -3.6275e+000 -9.5029e-001 -1.0789e+000 -2.6187e+000 +3.1987e+000 -5.2481e-002 -1.3894e+000 -2.4077e+000 -1.9928e+000 -1.4158e+000 -2.7543e+000 -8.2048e-001 +3.7318e+000 -3.7215e+000 +1.5916e+000
21 +8.473186420e+002 +8.473186420e+002 +3.852286420e+002 +3.852286420e+002 -4.5817e-001 -2.8931e+000 +4.2645e+000 -3.1317e+000 -2.3869e+000 -2.3923e+000 -1.7521e+000 -1.7523e+000 -1.3647e+000 +3.3287e+000 -3.5496e+000 -2.7142e+000 -7.2438e-001 +1.3100e+000 +9.4629e-002 -1.0840e+000 -1.1011e+000 +3.7079e+000 -7.3837e-001 +2.1386e+000
140 +6.621539479e+002 +6.621539479e+002 +2.000639479e+002 +2.000639479e+002 +1.8290e+000 -9.7144e-001 +8.3207e+000 -3.6654e+000 -6.2478e-001 +2.2752e-001 +2.6668e+000 +1.7273e-001 -1.2144e+000 +2.8674e+000 -3.1438e+000 -2.5809e+000 +2.0652e+000 -2.8145e+000 -1.8383e-001 -2.9659e+000 -2.9746e+000 +3.8918e+000 -2.4025e+000 -1.6228e+000
196 +5.929795812e+002 +5.929795812e+002 +1.308895812e+002 +1.308895812e+002 -1.5654e+000 +4.2693e+000 +5.5828e+000 -4.3261e+000 -4.0337e+000 -2.2062e+000 +3.8153e-001 -4.3164e-001 +2.1698e-001 +4.9173e+000 -2.5223e+000 -8.1224e-001 -5.8660e-001 -3.3352e+000 -2.3564e-001 -4.2534e+000 -1.6326e+000 +4.6278e+000 -3.2993e+000 +2.0036e+000
203 +5.772859699e+002 +5.772859699e+002 +1.151959699e+002 +1.151959699e+002 -2.9080e+000 +6.4773e-001 +3.1167e+000 -5.6998e+000 -2.2436e+000 +1.3936e+000 -1.6629e-001 +2.4501e+000 -1.4817e+000 +3.4759e+000 -7.6517e-001 -2.2129e+000 -1.2280e+000 -4.7316e+000 +1.5930e+000 -8.6451e-001 -2.7181e+000 +4.3591e+000 -2.4424e+000 +1.1453e+000
