% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.779654006e+002 +5.779654006e+002 +5.610254006e+002 +5.610254006e+002 -2.9661e+000 +9.2008e+000 -4.3729e+000 -6.5745e+000 -6.1041e+000 +1.6293e+000 -5.2796e-001 -6.6599e-001 +1.2423e+000 -6.7607e-001 -5.9576e+000 -1.0304e+001 +4.2441e+000 +1.7192e+000 +1.5979e+000 +7.2114e-001 +4.6364e+000 +3.0691e+000 -8.5253e-001 +2.2051e+000
2 +8.955500812e+001 +8.955500812e+001 +7.261500812e+001 +7.261500812e+001 -4.5870e+000 +1.7761e+000 -7.9589e-001 +9.3725e-002 -5.5239e+000 -2.4963e+000 -1.9220e-001 +1.1881e+000 -1.7308e+000 -1.8706e+000 +8.3267e-001 +9.7217e-001 +9.8959e-001 +1.5790e+000 +2.2761e+000 +6.4361e-001 +3.3453e+000 -8.7449e-001 -3.7841e-001 +1.6498e-001
4 +5.235238446e+001 +5.235238446e+001 +3.541238446e+001 +3.541238446e+001 -5.8556e+000 +2.8503e+000 -8.0838e-001 -4.7919e-001 +1.0832e+000 -1.5557e+000 +4.8462e+000 +1.9404e+000 -1.2754e+000 -5.4566e+000 -2.6471e+000 -8.2086e-002 +2.1333e-001 -2.0067e+000 +2.0435e+000 -5.7701e-001 -4.7324e+000 +1.4688e-001 +3.0332e+000 +3.8539e+000
18 +2.148542656e+001 +2.148542656e+001 +4.545426558e+000 +4.545426558e+000 -4.7570e+000 +2.5345e+000 +1.3728e+000 -3.7433e-001 -4.3256e+000 -2.2739e-001 +2.7905e+000 +3.3983e-001 -3.9982e-001 -3.0743e+000 +5.8425e-002 -2.9283e+000 +6.0863e-001 +1.5201e+000 +3.9843e+000 +4.0301e-001 +4.1146e+000 +2.8000e+000 -2.1864e+000 +2.8675e+000
104 +1.719168290e+001 +1.719168290e+001 +2.516829040e-001 +2.516829040e-001 -2.2531e+000 +3.1935e+000 -2.6262e+000 -2.7169e+000 -2.6897e+000 +5.5726e-002 +3.6311e+000 +1.3584e+000 -6.3322e-001 -4.2141e+000 -1.7091e+000 -3.8066e+000 +7.0785e-001 -1.3168e+000 +1.5876e+000 +1.3115e+000 +1.6332e+000 -1.1230e+000 -1.2855e+000 +2.4712e+000
305 +1.451088954e+001 +1.451088954e+001 -2.429110462e+000 -2.429110462e+000 +3.6150e+000 -2.0930e+000 -1.8496e+000 -4.1562e+000 -6.7207e-001 -1.1562e+000 +1.2838e+000 -9.1860e-001 +3.9242e-001 -3.8793e+000 +2.2023e-001 -4.4931e+000 -3.0003e+000 +1.4090e+000 +3.1737e+000 +2.4004e+000 +2.9309e+000 +4.8918e-001 -1.8476e+000 -2.0169e+000
376 +1.325893028e+001 +1.325893028e+001 -3.681069718e+000 -3.681069718e+000 +7.1631e-001 +4.3502e+000 -8.2613e-001 -3.0461e+000 +1.5382e+000 -1.0194e+000 +2.8574e+000 -1.4775e+000 +2.8960e-001 -3.0615e+000 +1.0161e+000 -5.2477e-001 +9.5832e-001 +8.8866e-003 +2.3120e+000 -2.1094e+000 +5.0327e+000 +2.2564e+000 +5.2197e-002 +9.4435e-002
658 +9.924529071e+000 +9.924529071e+000 -7.015470929e+000 -7.015470929e+000 +1.0027e+000 +1.2400e+000 -2.9635e+000 -2.0562e+000 +2.9855e+000 +1.7418e-001 +2.3848e+000 +1.6930e-001 -4.4212e-001 -4.1040e+000 +1.5889e+000 -3.1754e-001 +1.0426e+000 -1.1234e-001 +2.3153e+000 -7.8477e-001 +4.9913e+000 +2.6688e+000 -4.5153e-001 +1.6843e+000
740 +9.286460162e+000 +9.286460162e+000 -7.653539838e+000 -7.653539838e+000 -6.0929e-002 +5.9544e-001 -1.2131e+000 -1.0255e+000 +1.3112e-001 -1.6015e+000 +4.0183e+000 -1.7699e+000 +1.9979e+000 -1.6753e+000 +2.4359e+000 -1.4989e-002 -2.7040e+000 -1.6506e+000 +1.7433e+000 -2.4787e-001 +4.1494e+000 +2.2671e-001 -5.0406e-002 +1.3033e+000
1082 +8.406218727e+000 +8.406218727e+000 -8.533781273e+000 -8.533781273e+000 +6.6632e-001 -8.5314e-001 -3.0561e-001 +2.3564e+000 +2.0781e+000 -2.2821e+000 +3.2017e+000 +6.1584e-001 -3.4976e+000 -3.7914e+000 +9.6533e-001 -7.9270e-001 +1.1281e+000 -2.3985e+000 +1.0265e+000 +3.5359e+000 +1.8439e+000 +1.6952e+000 -1.5902e+000 +2.2605e-001
