% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.186167297e+003 +3.186167297e+003 +3.279107297e+003 +3.279107297e+003 -3.5493e+000 +1.1788e+000 -3.5082e-001 -1.6983e+000 -8.7943e-001 +2.8332e+000 +2.9271e+000 +3.5500e+000 -1.7795e+000 +6.0261e+000 -7.2283e+000 +8.0716e-001 +4.8367e+000 +8.6165e-001 -3.0500e+000 -4.4978e+000 -2.9839e+000 +7.5538e+000 -2.7745e+000 +4.8573e-002
3 +1.525489511e+003 +1.525489511e+003 +1.618429511e+003 +1.618429511e+003 +5.1800e-001 +4.5130e-001 +2.8979e-001 +3.2198e+000 -3.5420e+000 +4.7785e+000 +5.5184e+000 -3.4980e-001 +2.8330e+000 -3.7359e+000 -6.4683e+000 -7.8012e-001 +7.8412e-001 +2.5252e+000 -2.8758e+000 -1.8299e+000 -4.1328e-001 +2.2605e+000 -2.7770e+000 +3.0530e-001
95 +1.213972994e+003 +1.213972994e+003 +1.306912994e+003 +1.306912994e+003 -5.9739e-001 +6.1604e-001 -1.4499e+000 -1.2292e+000 +2.5578e+000 +2.7607e+000 +4.8031e+000 +1.2140e+000 +8.3228e-001 +3.2747e+000 -2.8454e+000 -4.1564e+000 +3.7408e+000 +3.0343e-001 -3.4916e+000 +8.9971e-001 -1.1659e+000 +2.9543e+000 -3.9794e+000 +3.0282e+000
109 +8.757068547e+002 +8.757068547e+002 +9.686468547e+002 +9.686468547e+002 -1.0571e+000 -7.5775e-001 +5.6795e+000 +1.7443e-001 -9.7480e-001 +5.4577e+000 +2.2025e+000 +1.7319e+000 +2.9828e+000 +4.0352e+000 -5.8398e+000 -4.1393e+000 +2.1796e+000 -2.4323e-001 -3.5103e+000 -1.6335e+000 -7.7967e-001 +2.7025e+000 -2.0692e+000 +1.3123e+000
217 +7.625724989e+002 +7.625724989e+002 +8.555124989e+002 +8.555124989e+002 -1.5287e+000 -1.3617e+000 +3.3055e-001 +5.7261e+000 +4.2452e+000 +4.9860e+000 +3.8809e+000 -1.5064e+000 +9.4091e-001 +5.2854e+000 -8.9674e+000 -2.7490e+000 +3.4579e+000 +1.9507e+000 -3.4842e+000 -1.8652e+000 -9.7863e-001 +4.4757e-001 -8.2418e+000 +1.8500e+000
294 +7.003154060e+002 +7.003154060e+002 +7.932554060e+002 +7.932554060e+002 -4.8623e-001 +5.1817e-001 +2.5269e+000 -1.3767e+000 +4.2419e+000 +5.4731e+000 +3.4541e+000 -2.7897e+000 +3.0620e-001 +3.0571e+000 -5.0818e+000 -3.3209e+000 +5.7399e+000 +6.4649e+000 -2.1446e+000 -3.0710e+000 +1.2725e+000 +4.1412e+000 -3.8626e+000 +5.1374e-001
310 +5.946446286e+002 +5.946446286e+002 +6.875846286e+002 +6.875846286e+002 -2.2624e+000 -3.4527e-001 +2.9565e+000 +9.2463e-001 +3.5555e+000 +6.4462e+000 +2.5614e+000 -7.4402e+000 +2.8964e-001 +3.5498e+000 -2.3444e+000 -3.0676e+000 +5.1065e+000 +2.0676e+000 +6.0206e-001 -7.0997e-001 +7.5884e-001 +5.4135e-001 -2.9118e+000 +4.7847e-001
315 +3.755883988e+002 +3.755883988e+002 +4.685283988e+002 +4.685283988e+002 -8.0714e-001 -1.7386e+000 +1.8999e+000 +1.1993e+000 +4.1071e+000 +6.1213e+000 +3.2139e+000 -4.0966e-001 +2.7788e+000 +3.8340e+000 -4.4590e+000 -3.8536e+000 +1.9827e+000 +1.8703e+000 +8.8763e-001 -3.6136e+000 -2.7671e-001 +1.4240e+000 -2.4996e+000 +1.8874e+000
632 +2.398149919e+002 +2.398149919e+002 +3.327549919e+002 +3.327549919e+002 -2.9236e+000 +3.1431e+000 +1.9893e+000 +1.4895e+000 +4.3608e+000 +5.6492e+000 +5.6264e+000 -7.6210e-001 +5.9711e-001 +3.6206e+000 -4.7924e+000 -3.7141e+000 +4.5678e+000 +2.6351e+000 -1.3339e+000 -3.0730e-001 -3.2940e-001 +1.2767e-001 -6.0548e+000 -2.3240e+000
712 +2.241109733e+002 +2.241109733e+002 +3.170509733e+002 +3.170509733e+002 -1.8275e+000 +8.6837e-001 +7.4499e-001 +1.5760e+000 +4.2560e+000 +5.0071e+000 +4.9820e+000 -8.0958e-001 -3.7692e-001 +3.7005e+000 -2.7277e+000 -4.3811e+000 +2.0726e+000 +2.2962e+000 -2.2239e-001 -1.6791e+000 -1.6696e-001 -1.0017e-001 -3.7718e+000 +1.6012e+000
