% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.648036622e+003 +4.648036622e+003 +4.678006622e+003 +4.678006622e+003 +1.1354e+001 -1.6683e+001 -2.3552e+000 -1.5540e+000 -5.8544e+000 +4.4636e+000 +1.5155e+000 -7.7028e-001 +1.4884e+000 +2.4027e+000 +1.8974e+000 +2.8332e+000 +7.9746e-001 -2.7322e+000 +1.2192e+000 -4.4411e+000 -1.6043e+000 +3.7574e-001 -2.3624e+000 -4.2237e+000
2 +3.884431024e+003 +3.884431024e+003 +3.914401024e+003 +3.914401024e+003 +3.9650e+000 -6.4753e+000 +8.3858e-001 +9.2814e+000 -3.1149e+000 +8.3161e-001 +1.5214e-002 +3.4249e+000 -1.0217e+000 +1.4848e+000 +3.0520e+000 +3.2746e+000 -2.3558e+000 +1.1934e+000 +1.2473e+000 -3.2238e-001 -2.2241e+000 -5.3822e-001 -5.0323e+000 +4.4430e+000
4 +3.552487044e+003 +3.552487044e+003 +3.582457044e+003 +3.582457044e+003 +1.3397e+000 -3.3522e+000 -2.5652e+000 +5.1469e+000 +1.1111e+000 -1.4211e+000 +4.4458e-001 +5.5579e+000 -2.6990e+000 +3.1423e+000 +4.0163e+000 +4.2599e+000 -2.3318e+000 -3.9991e+000 -3.1273e+000 +6.5942e+000 +1.4526e+000 -4.7450e+000 +1.9351e+000 -7.1688e+000
10 +3.163980639e+003 +3.163980639e+003 +3.193950639e+003 +3.193950639e+003 +7.7424e+000 -3.7375e+000 -1.3941e+000 +7.8805e-001 -4.1627e+000 -4.5804e+000 -6.7733e+000 +3.5556e+000 -1.4098e+000 +7.2004e+000 +1.5584e+000 +1.4991e+000 -4.4687e+000 -3.2378e+000 -2.4861e+000 +8.3151e-001 -1.7741e+000 -1.0852e+001 -1.9953e-001 -1.1441e+000
20 +3.045209234e+003 +3.045209234e+003 +3.075179234e+003 +3.075179234e+003 +4.9826e+000 -4.0802e+000 -4.0893e+000 +3.8052e+000 +1.4705e-001 +3.3785e+000 -7.3267e-001 +7.3970e+000 -2.9344e+000 +2.2196e+000 +3.5543e+000 +2.9626e+000 -5.8289e+000 +8.3317e-001 -4.4818e+000 -2.6990e-001 -4.3622e+000 -1.9812e+000 +2.0574e+000 -1.4521e+000
24 +2.647580159e+003 +2.647580159e+003 +2.677550159e+003 +2.677550159e+003 +4.3648e+000 -7.1396e+000 -2.7227e+000 +1.1995e+000 +2.1833e+000 -3.3270e+000 -6.7380e-002 +1.8504e+000 -7.7396e-001 +2.4372e+000 +1.4555e-001 +3.1243e+000 -1.6079e+000 -7.3435e-001 -4.7250e+000 +3.0149e-001 -1.3820e+000 -2.5673e+000 -1.1671e+000 -2.3940e+000
120 +2.204336439e+003 +2.204336439e+003 +2.234306439e+003 +2.234306439e+003 +1.4532e+000 -3.4640e+000 -4.3284e+000 +3.8671e-001 +4.1070e-003 -1.4141e-001 +1.5482e+000 +3.2657e+000 -2.4834e+000 +3.6676e+000 +1.4055e+000 +1.1334e+000 -2.9525e+000 +4.6004e-001 -1.1397e+000 -2.2893e-001 -2.4868e+000 -7.0835e+000 -1.5019e-001 -3.0611e+000
246 +2.117993769e+003 +2.117993769e+003 +2.147963769e+003 +2.147963769e+003 +3.3508e+000 -3.2602e+000 -3.1273e+000 +7.6155e-001 -1.9087e+000 +1.0186e+000 -2.8922e+000 +1.3465e+000 -7.0155e+000 +4.3427e+000 +8.6536e-002 +6.4562e-001 -1.7313e+000 -3.0716e-001 -6.1716e-001 -7.8229e-001 -4.2931e+000 -4.5283e+000 +1.4491e-001 -2.1604e+000
256 +2.075992806e+003 +2.075992806e+003 +2.105962806e+003 +2.105962806e+003 +1.1984e+000 -1.2247e+000 -3.3020e+000 +1.5622e+000 +3.4551e-001 +2.3759e-001 -1.4954e+000 +3.0902e+000 -1.1553e-001 -3.0962e+000 +3.7218e+000 -1.2877e+000 -1.8385e+000 +3.1168e-001 +4.2552e-001 -2.6850e+000 -2.5471e+000 -5.0285e+000 +1.7720e+000 -4.0775e+000
408 +1.976006619e+003 +1.976006619e+003 +2.005976619e+003 +2.005976619e+003 +4.6699e+000 -3.1848e+000 -7.3310e-001 +3.3094e+000 +1.1858e+000 -1.4820e-001 -2.6915e+000 -3.5997e+000 -1.3868e+000 +2.0989e+000 +5.1206e-001 +6.6799e-001 -3.0602e-001 -2.2350e+000 -7.9299e-001 +2.7669e+000 -2.7155e+000 -6.5897e+000 +1.2169e+000 -3.3775e+000
455 +1.877068985e+003 +1.877068985e+003 +1.907038985e+003 +1.907038985e+003 +6.5520e+000 -2.5302e+000 -1.9035e+000 -6.4450e-001 +1.9533e+000 +8.9834e-003 -4.0863e+000 +8.7817e-001 -2.5465e-001 +7.5094e-001 -7.3950e-001 +2.6612e+000 +6.5911e-001 +1.8284e+000 -4.4606e+000 +2.6438e+000 -1.5574e+000 -2.1876e+000 +5.9098e-001 -2.5353e+000
503 +1.842889458e+003 +1.842889458e+003 +1.872859458e+003 +1.872859458e+003 +5.9888e+000 -2.1477e+000 -2.3019e+000 +7.3620e-002 +8.2198e-001 +1.1271e+000 -2.7336e+000 -1.1992e-001 -2.2620e+000 +5.0072e-001 +4.1954e+000 -7.7065e-001 +2.9732e-001 +1.4049e+000 -8.4504e-001 +1.2795e+000 -1.1176e+000 -7.0282e+000 -1.0718e+000 +1.6024e+000
517 +1.772995419e+003 +1.772995419e+003 +1.802965419e+003 +1.802965419e+003 +5.9859e-001 -1.9628e+000 -1.2781e+000 +2.5340e-001 -1.4623e+000 +3.1812e+000 -1.3859e+000 +2.7212e+000 -2.6902e+000 +2.9376e+000 -7.7556e-001 -2.6517e-001 -2.1457e-001 +2.3669e+000 -5.2572e-001 +1.1958e+000 -1.6268e+000 -2.7792e+000 +7.0013e-001 -1.5304e+000
532 +1.658283174e+003 +1.658283174e+003 +1.688253174e+003 +1.688253174e+003 +2.1422e+000 -2.4441e+000 -2.0354e+000 +1.1869e+000 +3.5397e+000 +1.3166e+000 -1.3820e+000 +9.1315e-001 +4.5662e-001 -5.8026e-001 -9.5332e-001 +6.6139e-001 -3.8425e-001 +1.2224e+000 -3.9199e-001 +6.8096e-001 -2.1424e+000 -4.2747e+000 -5.9945e-002 -3.8312e+000
576 +1.569223253e+003 +1.569223253e+003 +1.599193253e+003 +1.599193253e+003 +2.3479e+000 -3.2129e+000 -2.8964e+000 +7.0020e-001 +1.2701e+000 -5.0223e-001 -2.3754e+000 +7.5321e-001 -3.0809e+000 +8.0410e-001 +9.5876e-001 +1.8115e+000 -8.2073e-001 +2.0693e+000 -2.7169e+000 +1.7248e+000 -2.8687e+000 -4.5445e+000 -1.3299e-001 -2.5900e+000
625 +1.445306642e+003 +1.445306642e+003 +1.475276642e+003 +1.475276642e+003 +2.1396e+000 -4.5253e+000 -2.9376e+000 +4.6161e-001 +1.0626e+000 +1.6716e+000 -3.3031e+000 -4.3953e-001 -1.4298e+000 -8.1289e-001 -1.6725e+000 +1.6446e+000 -3.6978e-001 +9.1458e-001 -1.4179e+000 -8.1145e-001 -2.5964e+000 -4.3431e+000 +1.8164e+000 -2.1860e+000
673 +1.378870589e+003 +1.378870589e+003 +1.408840589e+003 +1.408840589e+003 +2.8427e+000 -2.4082e+000 -1.8105e+000 -1.7202e+000 +7.3668e-001 +1.7104e+000 -1.8345e+000 +2.0692e+000 -4.3958e-001 -5.9976e-001 +1.6849e+000 +1.5819e+000 +9.0103e-001 +1.9387e+000 +2.0345e-001 +1.3621e+000 -2.3181e+000 -2.7411e+000 +1.7321e+000 -1.2571e+000
701 +1.317696748e+003 +1.317696748e+003 +1.347666748e+003 +1.347666748e+003 +1.7916e+000 -2.6889e+000 -1.7038e+000 +8.5329e-001 +1.2592e+000 +1.5244e+000 -4.1299e+000 -2.0168e+000 +1.3084e+000 +2.2974e+000 -8.2227e-001 -8.5443e-001 +7.0298e-001 +1.6680e+000 -2.1454e+000 +2.6516e+000 -1.3015e+000 -2.0579e+000 -7.7351e-001 -1.6366e+000
790 +1.274990373e+003 +1.274990373e+003 +1.304960373e+003 +1.304960373e+003 +2.3626e+000 -2.5827e+000 -2.8657e+000 -8.6512e-001 +1.5830e+000 +1.1311e+000 -2.5070e+000 -2.1516e-001 +6.1509e-002 +1.2498e+000 +2.6227e-001 -5.8268e-001 +1.9906e+000 +4.6751e-001 +8.9213e-001 +5.2747e+000 -2.6300e+000 -4.6339e+000 -1.4558e+000 -1.0097e+000
856 +1.248496372e+003 +1.248496372e+003 +1.278466372e+003 +1.278466372e+003 +3.0132e+000 -2.8583e+000 -2.8397e+000 +1.3304e-001 +1.6282e+000 +2.8406e+000 -1.8655e+000 +1.4533e-002 +2.0844e-001 +1.3615e+000 -8.5838e-001 -1.0057e-001 +1.2398e+000 +2.0399e+000 -6.8910e-001 +2.5902e+000 -1.9850e+000 -4.6907e+000 +6.7282e-001 -3.5842e+000
867 +1.213149732e+003 +1.213149732e+003 +1.243119732e+003 +1.243119732e+003 +1.5222e+000 -2.2638e+000 -2.0136e+000 -2.1489e+000 +9.5010e-001 +1.7451e+000 -3.7470e+000 -6.5620e-002 -7.6401e-001 -3.7723e-001 +5.4839e-001 +5.9709e-001 +1.9452e+000 +2.3189e+000 -3.2170e+000 +3.7238e+000 -1.9433e+000 -4.2244e+000 +1.5505e+000 -1.8588e+000
978 +1.110454963e+003 +1.110454963e+003 +1.140424963e+003 +1.140424963e+003 -7.9261e-001 -3.6716e+000 -2.4903e+000 -9.5887e-001 +1.8837e+000 +1.8827e+000 -2.2759e+000 -3.1127e-001 -5.2880e-002 -2.0385e-001 +9.5030e-001 +8.4176e-001 +2.2511e+000 +2.6862e+000 -2.1890e+000 +2.2951e+000 -3.3319e+000 -3.0189e+000 +2.5597e-001 -1.3152e+000
