% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.236200268e+002 +1.236200268e+002 +1.949700268e+002 +1.949700268e+002 +1.3620e+000 -3.8178e+000 -3.2219e+000 -4.3834e-001 -3.0671e+000 -1.3953e+000 -9.6104e-001 -6.6649e+000 +3.2794e+000 +2.8096e+000 +2.2046e-001 -5.9731e+000 -9.1390e-001 -7.9197e-002 +8.7360e-001 +5.5414e+000 -3.5570e+000 +6.4770e-001 -2.6634e+000 -5.0538e+000
2 +9.295488796e+001 +9.295488796e+001 +1.643048880e+002 +1.643048880e+002 +1.0443e+000 -4.5169e+000 +4.8518e-001 -7.8854e-001 +4.0581e+000 +3.1969e+000 +4.2695e+000 -2.2639e+000 -7.9226e+000 -1.0367e+000 -4.7782e-001 -1.6711e+000 +4.7003e-001 -5.3184e+000 -4.9053e-001 +1.9875e+000 -1.6991e+000 +2.5295e+000 -9.5983e+000 +3.1037e+000
5 +6.422630830e+001 +6.422630830e+001 +1.355763083e+002 +1.355763083e+002 +7.8847e+000 -3.8266e+000 -6.1384e+000 -5.4046e-001 -1.7099e+000 +5.3778e+000 +3.7189e+000 -3.3256e+000 -2.4922e+000 -2.1372e+000 -1.5021e+000 -4.1643e-001 +3.6024e+000 -6.1342e+000 +2.4095e+000 +5.1406e+000 -2.8589e+000 +4.1382e+000 -3.4117e+000 -1.4377e+000
7 +5.710517596e+001 +5.710517596e+001 +1.284551760e+002 +1.284551760e+002 -3.9105e+000 -1.6703e+000 -4.2248e+000 -5.1197e+000 -4.4410e+000 -2.1603e+000 +3.1797e+000 +8.7344e-002 +2.3709e+000 +2.2523e+000 -1.2496e+000 -2.7081e+000 +3.3393e-002 -4.6031e+000 -4.4113e+000 +6.3202e+000 -2.0913e+000 -3.0481e+000 -2.4693e+000 -3.6830e+000
13 +5.463203464e+001 +5.463203464e+001 +1.259820346e+002 +1.259820346e+002 +1.3038e+000 -2.9301e+000 -6.1825e+000 -1.9416e+000 -5.1990e+000 -2.1525e-001 +2.7499e+000 -4.5388e+000 +4.0993e+000 +3.7700e+000 -6.9135e-002 -3.6491e+000 +5.9042e-001 -2.4197e+000 -1.5867e+000 +4.4197e+000 -5.6592e+000 -9.8237e-001 +2.5333e-002 -5.3553e+000
22 +5.121050499e+001 +5.121050499e+001 +1.225605050e+002 +1.225605050e+002 -2.8523e+000 -3.0242e+000 -1.8591e+000 -3.5917e-001 +1.2231e+000 +1.0101e+000 +2.5406e+000 -2.1182e+000 +2.8546e+000 +4.1265e+000 +1.3819e+000 -3.5162e+000 +4.6768e+000 -2.4629e+000 -1.7783e+000 +2.1682e+000 -2.0608e+000 -8.5973e-001 +7.4967e+000 -3.2417e+000
84 +2.568146486e+001 +2.568146486e+001 +9.703146486e+001 +9.703146486e+001 +5.0602e+000 -1.3743e+000 -5.4511e+000 +9.1567e-001 -4.2930e+000 +3.6724e+000 +1.0604e+000 -2.7737e+000 +4.3356e+000 +4.4444e+000 +1.1176e+000 -4.7727e+000 +1.1784e+000 -6.1846e-001 -3.7299e+000 +4.4381e+000 -9.2923e-001 -2.2308e+000 -3.1539e+000 -5.4267e+000
42069 +2.241960444e+001 +2.241960444e+001 +9.376960444e+001 +9.376960444e+001 +1.8069e+000 -3.1446e+000 +3.4764e+000 +4.2914e+000 -1.7752e+000 -3.5898e+000 -5.4662e-001 -4.3150e-001 -7.9135e-001 -6.2418e+000 -2.4252e+000 +7.4351e-001 +3.3147e-001 +1.4336e+000 -1.6805e+000 -9.8460e-001 +4.3115e+000 -1.6199e+000 -1.5130e+000 +3.1087e-001
242387 +2.042650404e+001 +2.042650404e+001 +9.177650404e+001 +9.177650404e+001 -1.3469e+000 +4.4203e-001 +5.9563e-001 -2.5257e+000 -1.2729e+000 +7.9876e-001 +2.2485e+000 -8.1514e-001 +4.3003e+000 +4.6131e+000 -1.2212e+000 -1.5384e+000 -3.1935e+000 +6.3168e-002 +7.9778e-001 +2.1033e+000 -7.3606e-001 +2.9412e-001 -2.2033e-001 +1.6380e+000
275196 +1.889191624e+001 +1.889191624e+001 +9.024191624e+001 +9.024191624e+001 +1.7358e+000 -2.9113e+000 +1.4251e+000 +3.5178e+000 -1.1559e-002 +5.3257e-001 -5.0216e-001 -1.0736e+000 +1.7395e-001 -2.3022e-001 +3.2992e+000 +5.8360e-001 -6.0229e-001 -2.6354e+000 +1.6731e+000 +4.7615e+000 -8.3860e-001 +7.4041e-001 +6.9782e-001 +4.6441e-001
